"","Project","Sample_Location","Replicate","Date","ic_mgL","ic_uM","ic_flag","Analysis_runtime","Run_notes"
"1","FATE","Flume","A","20250327",14.15,1178.08675380901,"","5/26/2025 4:41:49 PM","No duplicates were included with this run."
"2","FATE","Flume","B","20250327",14.16,1178.91932395304,"","5/26/2025 4:54:57 PM","No duplicates were included with this run."
"3","FATE","Dock","A","20250327",14.58,1213.8872700025,"","5/26/2025 5:08:12 PM","No duplicates were included with this run."
"4","FATE","Dock","B","20250327",14.48,1205.56156856215,"","5/26/2025 5:21:21 PM","No duplicates were included with this run."
"5","FATE","Flume","A","20250403",14.65,1219.71526101074,"","5/26/2025 5:34:42 PM","No duplicates were included with this run."
"6","FATE","Flume","B","20250403",14.46,1203.89642827408,"","5/26/2025 5:47:52 PM","No duplicates were included with this run."
"7","FATE","Dock","A","20250403",14.01,1166.43077179252,"","5/26/2025 6:01:03 PM","No duplicates were included with this run."
"8","FATE","Dock","B","20250403",14.16,1178.91932395304,"","5/26/2025 6:14:04 PM","No duplicates were included with this run."
"9","FATE","Flume","A","20250414",9.692,806.926983598368,"","5/26/2025 6:26:21 PM","No duplicates were included with this run."
"10","FATE","Flume","B","20250414",9.682,806.094413454334,"","5/26/2025 6:38:40 PM","No duplicates were included with this run."
"11","FATE","Dock","A","20250414",13.28,1105.653151278,"","5/26/2025 6:51:21 PM","No duplicates were included with this run."
"12","FATE","Dock","B","20250414",13.46,1120.63941387062,"","5/26/2025 7:04:36 PM","No duplicates were included with this run."
"13","FATE","Flume","A","20250424",14.09,1173.0913329448,"","5/26/2025 8:03:59 PM","No duplicates were included with this run."
"14","FATE","Flume","B","20250424",13.56,1128.96511531097,"","5/26/2025 8:16:48 PM","No duplicates were included with this run."
"15","FATE","Dock","A","20250424",12.7,1057.36408292399,"","5/26/2025 8:29:54 PM","No duplicates were included with this run."
"16","FATE","Dock","B","20250424",12.62,1050.70352177171,"","5/26/2025 8:43:08 PM","No duplicates were included with this run."
"17","FATE","Flume","A","20250430",16.36,1362.08475564066,"","5/26/2025 8:56:32 PM","No duplicates were included with this run."
"18","FATE","Flume","B","20250430",16.22,1350.42877362418,"","5/26/2025 9:09:56 PM","No duplicates were included with this run."
"19","FATE","Dock","A","20250430",12.91,1074.84805594871,"","5/26/2025 9:23:04 PM","No duplicates were included with this run."
"20","FATE","Dock","B","20250430",12.66,1054.03380234785,"","5/26/2025 9:36:18 PM","No duplicates were included with this run."
"21","FATE","Dock","A","20250509",15.77,1312.96311714262,"","5/26/2025 9:49:41 PM","No duplicates were included with this run."
"22","FATE","Dock","B","20250509",15.75,1311.29797685455,"","5/26/2025 10:03:06 PM","No duplicates were included with this run."
