[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/29/2025 8:21:20 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 12:56:47 PM	1	1	IC	1.807	1.368	IC:1.365mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 12:59:04 PM	1	2	IC	2.025	1.384	IC:1.365mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:01:20 PM	1	3	IC	1.753	1.364	IC:1.365mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:03:38 PM	1	4	IC	1.729	1.362	IC:1.365mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:08:13 PM	1	1	IC	1.897	1.375	IC:1.394mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:10:28 PM	1	2	IC	2.217	1.398	IC:1.394mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:12:42 PM	1	3	IC	2.133	1.392	IC:1.394mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:14:56 PM	1	4	IC	2.129	1.392	IC:1.394mg/L	0	150	
Unknown	IC	Chk_Std_10mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:21:43 PM	1	1	IC	152.7	12.40	IC:12.42mg/L	0	150	
Unknown	IC	Chk_Std_10mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20241123.2024_11_26_09_38_50.cal	1.00		5/26/2025 1:24:58 PM	1	2	IC	154.1	12.50	IC:12.42mg/L	0	150	
