[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/2/2026 9:53:52 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	DI	Untitled			9.878				mg/L	0	4/30/2026 9:24:49 AM	
Unknown	IC	DI	Untitled			9.898				mg/L	0	4/30/2026 9:40:24 AM	
Unknown	IC	DI	Untitled			9.834				mg/L	1	4/30/2026 9:53:49 AM	
Unknown	IC	Chk_Std_40mgL	Untitled			78.72				mg/L	2	4/30/2026 10:10:48 AM	
Unknown	IC	DI	Untitled			9.992				mg/L	0	4/30/2026 10:26:57 AM	
Unknown	IC	DI	Untitled			9.973				mg/L	0	4/30/2026 10:40:00 AM	
Standard	IC	CalCurve_IC	Untitled			200.0				mg/L	3, 4, 5, 6, 7, 8, 9, 10	4/30/2026 12:50:01 PM	
Unknown	IC	DI	Untitled			1.465				mg/L	0	4/30/2026 1:07:55 PM	
Unknown	IC	Chk_Std_10mgL	Untitled			10.57				mg/L	11	4/30/2026 1:23:11 PM	
Unknown	IC	Chk_Std_CRM_221-0866	Untitled			23.00				mg/L	12	4/30/2026 1:39:29 PM	
Unknown	IC	DI	Untitled			1.308				mg/L	0	4/30/2026 1:55:20 PM	
Unknown	IC	FATE_Flume_20260409_A	Untitled			13.59				mg/L	13	4/30/2026 2:10:25 PM	
Unknown	IC	FATE_Flume_20260409_B	Untitled			12.89				mg/L	14	4/30/2026 2:25:14 PM	
Unknown	IC	FATE_Dock_20260409_A	Untitled			13.76				mg/L	15	4/30/2026 2:40:26 PM	
Unknown	IC	FATE_Dock_20260409_B	Untitled			13.70				mg/L	16	4/30/2026 2:55:39 PM	
Unknown	IC	Tidal_Flume_SW_1_A_pair	Untitled			14.29				mg/L	17	4/30/2026 3:10:51 PM	
Unknown	IC	Tidal_Flume_SW_1_B_pair	Untitled			14.24				mg/L	18	4/30/2026 3:25:53 PM	
Unknown	IC	Tidal_Flume_SW_2_A_pair	Untitled			14.21				mg/L	19	4/30/2026 3:40:57 PM	
Unknown	IC	Tidal_Flume_SW_2_B_pair 	Untitled			14.21				mg/L	20	4/30/2026 3:55:46 PM	
Unknown	IC	DI	Untitled			1.316				mg/L	0	4/30/2026 4:11:59 PM	
Unknown	IC	Chk_Std_10mgL	Untitled			10.65				mg/L	21	4/30/2026 4:27:06 PM	
Unknown	IC	DI	Untitled			1.326				mg/L	0	4/30/2026 4:40:23 PM	
Unknown	IC	Tidal_Flume_GW_2_A	Untitled			29.25				mg/L	22	4/30/2026 4:56:07 PM	
Unknown	IC	Tidal_Flume_GW_2_B	Untitled			29.52				mg/L	23	4/30/2026 5:12:17 PM	
Unknown	IC	Tidal_Flume_GW_3_A	Untitled			20.24				mg/L	24	4/30/2026 5:28:01 PM	
Unknown	IC	Tidal_Flume_GW_3_B	Untitled			20.43				mg/L	25	4/30/2026 6:11:07 PM	
Unknown	IC	Tidal_Flume_GW_4_A	Untitled			24.18				mg/L	26	4/30/2026 6:26:25 PM	
Unknown	IC	Tidal_Flume_GW_4_B	Untitled			23.76				mg/L	27	4/30/2026 6:46:07 PM	
Unknown	IC	DI	Untitled			1.342				mg/L	0	4/30/2026 7:01:58 PM	
