"","Project","Sample_Location","Date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes"
"1","FATE","Dock","20250327",5.042,419.781866622263,"",0.08491,6.06209885269193,"TN dups out of range","9/18/2025 10:57:13 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"2","FATE","Flume","20250327",6.72,559.487136791275,"",0.3517,25.1094119242934,"TN dups out of range","9/18/2025 11:31:08 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"3","FATE","Dock","20250403",5.011,417.200899175756,"",0.1599,11.4159652166463,"TN dups out of range","9/18/2025 12:04:30 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"4","FATE","Flume","20250403",6.392,532.178836066939,"",0.2497,17.8271827054195,"TN dups out of range","9/18/2025 12:36:56 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"5","FATE","Dock","20250414",5.172,430.605278494713,"",0.2003,14.3002991425532,"TN dups out of range","9/18/2025 1:09:31 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"6","FATE","Flume","20250414",6.462,538.006827075181,"",0.2037,14.5430401165157,"TN dups out of range","9/18/2025 1:41:44 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"7","FATE","Dock","20250425",5.121,426.359170760137,"",0.1946,13.8933510391455,"TN dups out of range","9/18/2025 2:14:08 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"8","FATE","Flume","20250425",5.972,497.210890017484,"",0.1728,12.3369530296215,"TN dups out of range","9/18/2025 2:47:42 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"9","FATE","Dock","20250430",6.027,501.790025809674,"",0.2856,20.3902418128467,"TN dups out of range","9/18/2025 3:20:44 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"10","FATE","Flume","20250430",7.989,665.14028806927,"",0.4054,28.9432914248181,"TN dups out of range","9/18/2025 3:54:35 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"11","FATE","Dock","20250509",5.804,483.223711597702,"",0.247,17.6344178143317,"TN dups out of range","9/18/2025 6:37:14 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
