[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	9/19/2025 3:34:44 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	Chk_Std_50C2N	Untitled					24.32	2.435	mg/L	1	9/16/2025 12:35:32 PM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	9/16/2025 5:18:02 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	9/16/2025 8:19:41 PM	
Unknown	NPOC/TN	DI	Untitled					0.01650	-0.02790	mg/L	0	9/16/2025 8:45:39 PM	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled					1.099	0.9675	mg/L	17	9/16/2025 9:12:02 PM	
Unknown	NPOC/TN	DI	Untitled					-0.03277	0.02232	mg/L	0	9/16/2025 9:36:44 PM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1225_A	Untitled					2.978	0.6109	mg/L	18	9/16/2025 10:03:05 PM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1225_B	Untitled					2.575	0.4131	mg/L	19	9/16/2025 10:25:04 PM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1225_C	Untitled					2.683	0.4708	mg/L	20	9/16/2025 10:51:00 PM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1300_A	Untitled					2.187	0.7387	mg/L	21	9/16/2025 11:13:51 PM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1300_B	Untitled					2.224	0.7439	mg/L	22	9/16/2025 11:42:20 PM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1300_C	Untitled					1.616	0.3966	mg/L	23	9/17/2025 12:08:12 AM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1400_A	Untitled					1.731	0.1046	mg/L	24	9/17/2025 12:33:43 AM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1400_B	Untitled					1.647	0.1499	mg/L	25	9/17/2025 12:59:29 AM	
Unknown	NPOC/TN	TMP_FW_Well_20250904_1400_C	Untitled					1.540	0.09336	mg/L	26	9/17/2025 1:27:28 AM	
Unknown	NPOC/TN	DI	Untitled					0.05060	0.02063	mg/L	0	9/17/2025 1:54:27 AM	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled					1.054	0.9919	mg/L	27	9/17/2025 2:21:23 AM	
Unknown	NPOC/TN	DI	Untitled					0.01142	-0.06085	mg/L	0	9/17/2025 10:17:48 AM	
Unknown	NPOC/TN	202509_GCW_TR_LysA_20cm	Untitled					4.583	-0.00005	mg/L	28	9/17/2025 10:46:28 AM	
Unknown	NPOC/TN	202509_GCW_TR_LysB_10cm	Untitled					4.556	0.2195	mg/L	29	9/17/2025 11:14:57 AM	
Unknown	NPOC/TN	202509_GCW_TR_LysC_20cm	Untitled					4.428	0.02807	mg/L	30	9/17/2025 11:43:46 AM	
Unknown	NPOC/TN	202509_GCW_WC_LysA_10cm	Untitled					20.14	1.498	mg/L	31	9/17/2025 12:11:51 PM	
Unknown	NPOC/TN	202509_GCW_WC_LysA_20cm	Untitled					18.30	2.196	mg/L	32	9/17/2025 12:31:34 PM	
Unknown	NPOC/TN	202509_GCW_WC_LysA_45cm	Untitled					33.45	5.222	mg/L	33	9/17/2025 12:59:13 PM	
Unknown	NPOC/TN	202509_GCW_WS_LysB_10cm	Untitled					22.35	2.434	mg/L	34	9/17/2025 1:28:52 PM	
