[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	3/19/2026 10:04:51 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					-0.02683	0.00104	mg/L	0	3/17/2026 3:45:06 PM	
Unknown	NPOC/TN	DI	Untitled					-0.08941	-0.03686	mg/L	0	3/17/2026 4:12:32 PM	
Unknown	NPOC/TN	DI	Untitled					-0.1915	-0.02398	mg/L	0	3/17/2026 4:36:15 PM	
Unknown	NPOC/TN	DI	Untitled					-0.1712	-0.03715	mg/L	0	3/17/2026 5:04:25 PM	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled					0.9647	0.8348	mg/L	1	3/17/2026 5:33:57 PM	
Unknown	NPOC/TN	DI	Untitled					-0.2066	-0.05098	mg/L	0	3/17/2026 5:54:56 PM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	3/17/2026 8:52:35 PM	
Unknown	NPOC/TN	DI	Untitled					-0.02211	-0.04032	mg/L	0	3/17/2026 9:17:15 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	3/18/2026 12:22:22 AM	
Unknown	NPOC/TN	DI	Untitled					0.3547	0.02407	mg/L	0	3/18/2026 12:49:18 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					50.45	1.897	mg/L	17	3/18/2026 1:20:25 AM	
Unknown	NPOC/TN	DI	Untitled					0.4433	-0.00494	mg/L	0	3/18/2026 1:44:07 AM	
Unknown	NPOC/TN	MD_sw_DOC_14	Untitled					8.252	0.7480	mg/L	18	3/18/2026 2:14:13 AM	
Unknown	NPOC/TN	MD_sw_DOC_14_dup	Untitled					8.385	0.7353	mg/L	19	3/18/2026 2:40:35 AM	
Unknown	NPOC/TN	MD_sw_DOC_15	Untitled					8.086	0.6963	mg/L	20	3/18/2026 2:59:10 AM	
Unknown	NPOC/TN	MD_sw_DOC_15_dup	Untitled					8.047	0.7563	mg/L	21	3/18/2026 3:28:20 AM	
Unknown	NPOC/TN	MD_sw_DOC_16	Untitled					8.084	0.8256	mg/L	22	3/18/2026 4:00:18 AM	
Unknown	NPOC/TN	MD_sw_DOC_16_dup	Untitled					8.493	0.7476	mg/L	23	3/18/2026 4:29:37 AM	
Unknown	NPOC/TN	MD_sw_DOC_17	Untitled					8.651	0.7220	mg/L	24	3/18/2026 4:57:35 AM	
Unknown	NPOC/TN	MD_sw_DOC_17_dup	Untitled					8.792	0.7407	mg/L	25	3/18/2026 5:27:40 AM	
