[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	3/19/2026 10:04:58 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 3:29:24 PM	1	1	NPOC	1.945	0.02302	NPOC:-0.02683mg/L TN:0.00104mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 3:33:41 PM	1	2	NPOC	2.136	0.07403	NPOC:-0.02683mg/L TN:0.00104mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 3:37:30 PM	1	3	NPOC	1.807	-0.01383	NPOC:-0.02683mg/L TN:0.00104mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 3:41:18 PM	1	4	NPOC	1.701	-0.04214	NPOC:-0.02683mg/L TN:0.00104mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 3:45:06 PM	1	5	NPOC	1.767	-0.02451	NPOC:-0.02683mg/L TN:0.00104mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 3:29:24 PM	1	1	TN	0.8442	0.01005	NPOC:-0.02683mg/L TN:0.00104mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 3:33:41 PM	1	2	TN	0.6974	-0.00057	NPOC:-0.02683mg/L TN:0.00104mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 3:37:30 PM	1	3	TN	0.4310	-0.01983	NPOC:-0.02683mg/L TN:0.00104mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 3:41:18 PM	1	4	TN	0.6175	-0.00634	NPOC:-0.02683mg/L TN:0.00104mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 3:45:06 PM	1	5	TN	0.000	-0.05098	NPOC:-0.02683mg/L TN:0.00104mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 3:53:47 PM	1	1	NPOC	1.583	-0.07365	NPOC:-0.08941mg/L TN:-0.03686mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 3:57:35 PM	1	2	NPOC	2.045	0.04972	NPOC:-0.08941mg/L TN:-0.03686mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:01:23 PM	1	3	NPOC	1.544	-0.08407	NPOC:-0.08941mg/L TN:-0.03686mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:05:34 PM	1	4	NPOC	1.445	-0.1105	NPOC:-0.08941mg/L TN:-0.03686mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 3:53:47 PM	1	1	TN	0.5859	-0.00863	NPOC:-0.08941mg/L TN:-0.03686mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 3:57:35 PM	1	2	TN	0.000	-0.05098	NPOC:-0.08941mg/L TN:-0.03686mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:01:23 PM	1	3	TN	0.9805	0.01990	NPOC:-0.08941mg/L TN:-0.03686mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:05:34 PM	1	4	TN	1.377	0.04856	NPOC:-0.08941mg/L TN:-0.03686mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:12:32 PM	1	5	TN	0.000	-0.05098	NPOC:-0.08941mg/L TN:-0.03686mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:20:59 PM	1	1	NPOC	9.014	1.911	NPOC:-0.1915mg/L TN:-0.02398mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:24:48 PM	1	2	NPOC	0.9104	-0.2533	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:28:37 PM	1	3	NPOC	1.760	-0.02638	NPOC:-0.1915mg/L TN:-0.02398mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:32:26 PM	1	4	NPOC	1.381	-0.1276	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:36:15 PM	1	5	NPOC	1.134	-0.1936	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
