[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	2/3/2026 5:04:49 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	IC	Chk_Std_crm221	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:17:44 PM	1	1	IC	297.9	33.23	IC:32.84mg/L	0	150	
Unknown	IC	Chk_Std_crm221	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:20:49 PM	1	2	IC	267.7	31.46	IC:32.84mg/L	1	150	
Unknown	IC	Chk_Std_crm221	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:23:53 PM	1	3	IC	277.5	32.04	IC:32.84mg/L	1	150	
Unknown	IC	Chk_Std_crm221	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:27:01 PM	1	4	IC	286.6	32.57	IC:32.84mg/L	0	150	
Unknown	IC	Chk_Std_crm221	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:30:09 PM	1	5	IC	288.9	32.71	IC:32.84mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:43:50 PM	1	1	IC	1.430	15.82	IC:15.84mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:46:03 PM	1	2	IC	1.671	15.84	IC:15.84mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:48:17 PM	1	3	IC	1.784	15.85	IC:15.84mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20251119.2025_11_22_18_40_09.cal	1.00		2/2/2026 2:50:30 PM	1	4	IC	1.639	15.84	IC:15.84mg/L	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 2:56:21 PM	1	1	IC	0.000	0.000	 	0	50	
