"IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Sample_ID","Project","Date","Site","Time","Analysis_rundate","ID_conc"
"143",0,0,0,0.072,-1.48228687025598,NA,1,"Within range","bdl","FATE_20250509_DOCK_1449","FATE",20250509,"DOCK",1449,20250926,"143_bdl"
"144",0,0,0,0.08,-0.589866001582073,NA,1,"Within range","bdl","FATE_20250912_FLUME_1356","FATE",20250912,"FLUME",1356,20250926,"144_bdl"
"145",0,0,0,0.066,-2.15160252176142,NA,1,"Within range","bdl","FATE_20250529_DOCK_1553","FATE",20250529,"DOCK",1553,20250926,"145_bdl"
"146",0,0,0,0.069,-1.8169446960087,NA,1,"Within range","bdl","FATE_20250912_DOCK_1536","FATE",20250912,"DOCK",1536,20250926,"146_bdl"
"147",0,0,0,0.0666666666666667,-2.07723411603859,NA,1,"Within range","bdl","FATE_20250424_FLUME_1446","FATE",20250424,"FLUME",1446,20250926,"147_bdl"
"148",0,0,0,0.07,-1.70539208742446,NA,1,"Within range","bdl","FATE_20250724_DOCK_1312","FATE",20250724,"DOCK",1312,20250926,"148_bdl"
"149",0,0,0,0.065,-2.26315513034566,NA,1,"Within range","bdl","FATE_20250627_DOCK_1519","FATE",20250627,"DOCK",1519,20250926,"149_bdl"
"150",0,0,0,0.067,-2.04004991317718,NA,1,"Within range","bdl","FATE_20250414_FLUME_1440","FATE",20250414,"FLUME",1440,20250926,"150_bdl"
"151",0,0,0,0.0726666666666667,-1.40791846453316,NA,1,"Within range","bdl","FATE_20250813_DOCK_1218","FATE",20250813,"DOCK",1218,20250926,"151_bdl"
"152",0,0,0,0.0663333333333333,-2.1144183189,NA,1,"Within range","bdl","FATE_20250414_DOCK_1335","FATE",20250414,"DOCK",1335,20250926,"152_bdl"
"153",0,0,0,0.068,-1.92849730459294,NA,1,"Within range","bdl","FATE_20250403_DOCK_1300","FATE",20250403,"DOCK",1300,20250926,"153_bdl"
"154",0,0,0,0.071,-1.59383947884022,NA,1,"Within range","bdl","FATE_20250403_FLUME_1443","FATE",20250403,"FLUME",1443,20250926,"154_bdl"
"155",0,0,0,0.071,-1.59383947884022,NA,1,"Within range","bdl","FATE_20250612_FLUME_1054","FATE",20250612,"FLUME",1054,20250926,"155_bdl"
"156",0,0,0,0.0693333333333333,-1.77976049314729,NA,1,"Within range","bdl","FATE_20250605_FLUME_1115","FATE",20250605,"FLUME",1115,20250926,"156_bdl"
"157",0,0,0,0.0716666666666667,-1.5194710731174,NA,1,"Within range","bdl","FATE_20250327_DOCK_1605","FATE",20250327,"DOCK",1605,20250926,"157_bdl"
"158",0,0,0,0.0733333333333333,-1.33355005881033,NA,1,"Within range","bdl","FATE_20250829_FLUME_1354","FATE",20250829,"FLUME",1354,20250926,"158_bdl"
"159",0,0,0,0.0746666666666667,-1.18481324736468,NA,1,"Within range","bdl","FATE_20250605_DOCK_1259","FATE",20250605,"DOCK",1259,20250926,"159_bdl"
"160",0,0,0,0.0705,-1.64961578313234,NA,1,"Within range","bdl","FATE_20250627_FLUME_1210","FATE",20250627,"FLUME",1210,20250926,"160_bdl"
"161",0,0,0,0.0676666666666667,-1.96568150745435,NA,1,"Within range","bdl","FATE_20250905_FLUME_1139","FATE",20250905,"FLUME",1139,20250926,"161_bdl"
"162",0,0,0,0.0665,-0.751195296668242,NA,1,"Within range","bdl","FATE_20250829_DOCK_1538","FATE",20250829,"DOCK",1538,20250926,"162_bdl"
"163",0,0,0,0.0646666666666667,-0.92649693795445,NA,1,"Within range","bdl","FATE_20250327_FLUME_1431","FATE",20250327,"FLUME",1431,20250926,"163_bdl"
"164",0.762773423530828,0.0552056998832594,7.23749650685466,0.0823333333333333,0.762773423530828,NA,1,"Within range","Within_Range","FATE_20250430_FLUME_1400","FATE",20250430,"FLUME",1400,20250926,"164_Within_Range"
"165",0,0,0,0.0626666666666667,-1.11773509208486,NA,1,"Within range","bdl","FATE_20250425_DOCK_1637","FATE",20250425,"DOCK",1637,20250926,"165_bdl"
"166",0,0,0,0.0693333333333333,-0.48027457831683,NA,1,"Within range","bdl","FATE_20250716_FLUME_1500","FATE",20250716,"FLUME",1500,20250926,"166_bdl"
"167",0,0,0,0.0705,-0.368718988407425,NA,1,"Within range","bdl","FATE_20250529_FLUME_1402","FATE",20250529,"FLUME",1402,20250926,"167_bdl"
"168",0,0,0,0.0653333333333333,-0.862750886577647,NA,1,"Within range","bdl","FATE_20250612_DOCK_1234","FATE",20250612,"DOCK",1234,20250926,"168_bdl"
"169",0,0,0,0.0636666666666667,-1.02211601501965,NA,1,"Within range","bdl","FATE_20250430_DOCK_1500","FATE",20250430,"DOCK",1500,20250926,"169_bdl"
"170",0,0,0,0.065,-0.894623912266049,NA,1,"Within range","bdl","FATE_20250813_FLUME_1103","FATE",20250813,"FLUME",1103,20250926,"170_bdl"
"171",0,0,0,0.0666666666666667,-0.735258783824041,NA,1,"Within range","bdl","FATE_20250905_DOCK_1255","FATE",20250905,"DOCK",1255,20250926,"171_bdl"
"172",0,0,0,0.0663333333333333,-0.767131809512443,NA,1,"Within range","bdl","FATE_20250724_FLUME_1128","FATE",20250724,"FLUME",1128,20250926,"172_bdl"
