"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Sample_ID","Project","Date","Site","Time","Analysis_rundate"
"1","167",0,0,0,0.0705,-0.368718988407425,"",1,"Within range","bdl","FATE_20250529_FLUME_1402","FATE","20250529","FLUME","1402","20250926"
"2","162",0,0,0,0.0665,-0.751195296668242,"",1,"Within range","bdl","FATE_20250829_DOCK_1538","FATE","20250829","DOCK","1538","20250926"
"3","163",0,0,0,0.0646666666666667,-0.92649693795445,"",1,"Within range","bdl","FATE_20250327_FLUME_1431","FATE","20250327","FLUME","1431","20250926"
"4","164",0.762773423530828,0.0552056998832594,7.23749650685466,0.0823333333333333,0.762773423530828,"",1,"Within range","Within_Range","FATE_20250430_FLUME_1400","FATE","20250430","FLUME","1400","20250926"
"5","165",0,0,0,0.0626666666666667,-1.11773509208486,"",1,"Within range","bdl","FATE_20250425_DOCK_1637","FATE","20250425","DOCK","1637","20250926"
"6","166",0,0,0,0.0693333333333333,-0.48027457831683,"",1,"Within range","bdl","FATE_20250716_FLUME_1500","FATE","20250716","FLUME","1500","20250926"
"7","168",0,0,0,0.0653333333333333,-0.862750886577647,"",1,"Within range","bdl","FATE_20250612_DOCK_1234","FATE","20250612","DOCK","1234","20250926"
"8","169",0,0,0,0.0636666666666667,-1.02211601501965,"",1,"Within range","bdl","FATE_20250430_DOCK_1500","FATE","20250430","DOCK","1500","20250926"
"9","170",0,0,0,0.065,-0.894623912266049,"",1,"Within range","bdl","FATE_20250813_FLUME_1103","FATE","20250813","FLUME","1103","20250926"
"10","171",0,0,0,0.0666666666666667,-0.735258783824041,"",1,"Within range","bdl","FATE_20250905_DOCK_1255","FATE","20250905","DOCK","1255","20250926"
"11","172",0,0,0,0.0663333333333333,-0.767131809512443,"",1,"Within range","bdl","FATE_20250724_FLUME_1128","FATE","20250724","FLUME","1128","20250926"
