,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.064,0.064,0.062,0.065,0.067,0.066,0.064,0.07,0.045,0.045,0.045
B,0.125,0.134,0.117,0.082,0.082,0.083,0.067,0.066,0.066,0.045,0.044,0.044
C,0.193,0.189,0.197,0.062,0.062,0.064,0.318,0.311,0.315,0.045,0.044,0.046
D,0.346,0.354,0.33,0.071,0.068,0.069,0.044,0.045,0.044,0.045,0.044,0.045
E,0.671,0.589,0.635,0.089,0.071,0.07,0.044,0.044,0.045,0.045,0.044,0.045
F,1.082,1.123,1.103,0.065,0.065,0.066,0.064,0.061,0.062,0.045,0.045,0.045
G,1.012,1.109,1.037,0.065,0.063,0.063,0.045,0.045,0.044,0.045,0.044,0.044
H,0.067,0.075,0.066,0.066,0.065,0.064,0.105,0.1,0.106,0.044,0.045,0.046
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,163,163,163,171,171,171,,,
B,Std 1,Std 1,Std 1,164,164,164,172,172,172,,,
C,Std 2,Std 2,Std 2,165,165,165,July_42,July_42,July_42,,,
D,Std 3,Std 3,Std 3,166,166,166,,,,,,
E,Std 4,Std 4,Std 4,167,167,167,,,,,,
F,Std 5,Std 5,Std 5,168,168,168,171 Dup,171 Dup,171 Dup,,,
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,169,169,169,,,,,,
H,162,162,162,170,170,170,172 Spike,172 Spike,172 Spike,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
