,location,sample_id,sample_datetime,date,time,Sal_ppt,H20_temp_C,Alk_GP_avg,Alk_GP_sd,Alk_GP_se,month,year
1,Marsh_weir,1451,1/3/2023 14:43,1/3/2023,14:43:00,13.7,9.1,1475.465,0.84774,0.59944,1,2023
2,Marsh_weir,1452,1/18/2023 10:33,1/18/2023,10:33:00,8.81,3.3,1211.236,2.47863,1.75265,1,2023
3,Marsh_weir,1453,1/24/2023 11:14,1/24/2023,11:14:00,9.23,5.8,1576.593,0.11045,0.0781,1,2023
4,Marsh_weir,1454,2/7/2023 12:18,2/7/2023,12:18:00,10.99,7.6,1346.695,3.84415,2.71822,2,2023
5,Marsh_weir,1455,2/16/2023 9:43,2/16/2023,9:43:00,10.28,8.1,1308.622,1.09719,0.77583,2,2023
6,Marsh_weir,1456,2/23/2023 14:29,2/23/2023,14:29:00,9.27,12.8,1174.436,0.98533,0.69673,2,2023
7,Marsh_weir,1457,3/1/2023 10:15,3/1/2023,10:15:00,11.84,9.5,1416.458,0.44583,0.31525,3,2023
8,Marsh_weir,1458,3/7/2023 10:13,3/7/2023,10:13:00,9.04,8.1,1211.78,1.41804,1.00271,3,2023
9,Marsh_weir,1459,3/21/2023 10:57,3/21/2023,10:57:00,10.68,8.6,1386.083,4.43207,3.13395,3,2023
10,Marsh_weir,1460,4/3/2023 14:32,4/3/2023,14:32:00,11.36,17.1,1397.59,1.28812,0.91084,4,2023
11,Marsh_weir,1461,4/13/2023 10:21,4/13/2023,10:21:00,8.85,17.4,2054.894,1.72638,1.22074,4,2023
12,Marsh_weir,1462,4/18/2023 13:48,4/18/2023,13:48:00,9.67,19.9,1461.963,0.94005,0.66471,4,2023
13,Marsh_weir,1463,4/25/2023 11:00,4/25/2023,11:00:00,9.1,15.4,1424.663,4.68992,3.31628,4,2023
14,Marsh_weir,1464,5/3/2023 11:18,5/3/2023,11:18:00,7.52,13.5,1222.021,1.32875,0.93957,5,2023
15,Marsh_weir,1465,5/15/2023 13:02,5/15/2023,13:02:00,8.02,22.9,1291.057,1.64523,1.16336,5,2023
16,Marsh_weir,1466,5/24/2023 14:40,5/24/2023,14:40:00,9.29,22.6,1284.411,0.83702,0.59186,5,2023
17,Marsh_weir,1467,6/5/2023 11:05,6/5/2023,11:05:00,9.08,22.4,1437.243,9.06282,6.40838,6,2023
18,Marsh_weir,1468,6/13/2023 10:26,6/13/2023,10:26:00,10.21,20.7,2137.69,1.7496,1.23715,6,2023
19,Marsh_weir,1469,6/20/2023 10:30,6/20/2023,10:30:00,12.76,24.3,1589.736,0.0425,0.03005,6,2023
20,Marsh_weir,1470,6/28/2023 14:45,6/28/2023,14:45:00,9.84,26,1922.349,24.64943,17.42978,6,2023
21,Marsh_weir,1471,7/5/2023 11:59,7/5/2023,11:59:00,12.29,27.6,1885.678,13.45489,9.51404,7,2023
22,Marsh_weir,1472,7/11/2023 12:07,7/11/2023,12:07:00,9.92,26.7,1576.658,0.73443,0.51932,7,2023
23,Marsh_weir,1473,7/11/2023 17:08,7/11/2023,17:08:00,10.82,28.4,2177.459,1.86399,1.31804,7,2023
24,Marsh_weir,1474,7/12/2023 11:13,7/12/2023,11:13:00,10.87,25.1,1872.543,2.37047,1.67617,7,2023
25,Marsh_weir,1475,7/13/2023 11:37,7/13/2023,11:37:00,11.7,26.3,1865.366,1.05184,0.74376,7,2023
26,Marsh_weir,1476,7/13/2023 15:26,7/13/2023,15:26:00,11.57,29.7,1805.028,9.85179,5.68793,7,2023
27,Marsh_weir,1477,7/14/2023 10:30,7/14/2023,10:30:00,11.88,26.4,1986.83,1.18111,0.83517,7,2023
28,Marsh_weir,1478,7/14/2023 15:44,7/14/2023,15:44:00,11.77,30.9,1880.702,1.3989,0.98917,7,2023
29,Marsh_weir,1479,7/18/2023 10:00,7/18/2023,10:00:00,12.56,26.3,1773.333,0.40248,0.28459,7,2023
30,Marsh_weir,1487,7/26/2023 11:00,7/26/2023,11:00:00,9.64,26.6,1566.892,1.67419,1.18383,7,2023
31,Marsh_weir,1488,8/2/2023 10:58,8/2/2023,10:58:00,9.98,23.5,1540.73,0.81339,0.57515,8,2023
32,Marsh_weir,1489,8/22/2023 11:35,8/22/2023,11:35:00,11.88,25.3,3616.045,0.0368,0.02602,8,2023
