"","datetime","TA","DIC","DO","fDOM","S","pH","H","T","flow"
"1","2024-02-08 09:00:00",866.35,832.570144034635,14.19,38.91,3.96,8.13,0.099,4.231,0.0177
"2","2024-02-08 10:00:00",845.9,809.008408958455,13.04,40.84,3.91,7.63,0.097,3.101,0.0255
"3","2024-02-08 11:00:00",NA,577.63716593123,12.33,42.23,3.83,7.36,0.096,2.116,-0.0126
"4","2024-02-08 12:00:00",927.6,791.10815086171,12.14,46.56,3.9,7.24,0.095,1.389,-0.03
"5","2024-02-08 13:00:00",965.25,787.361585213554,12.07,49.36,3.97,7.16,0.098,1.087,-0.0639
"6","2024-02-08 14:00:00",1042.35,824.410956623096,12.18,51.17,4,7.12,0,1.152,0
"7","2024-02-08 15:00:00",1064.9,834.235284322704,12.54,50.6,4,7.14,0,1.531,0
"8","2024-02-08 16:00:00",1041.85,823.661643493464,13.11,50.32,3.97,7.18,0,1.915,0
"9","2024-02-08 17:00:00",1015.8,828.740321372076,16.03,31.94,4.61,8.72,0,6.261,0
"10","2024-02-08 18:00:00",976.2,818.249937557239,16.13,29.03,4.65,8.76,0.103,6.883,-0.0055
"11","2024-02-08 19:00:00",943.7,828.990092415286,16.06,27.86,4.7,8.77,0.117,7.009,-3e-04
"12","2024-02-08 20:00:00",893.95,804.262759137457,15.68,26.87,4.75,8.72,0.842,6.67,0.1817
"13","2024-02-08 21:00:00",868.1,818.249937557239,15.78,28.04,4.76,8.73,0.892,6.583,0.442
"14","2024-02-08 16:00:00",1054.05,883.356922820748,13.11,50.32,3.97,7.18,0,1.915,0
"15","2024-02-08 17:00:00",1031.05,863.375239363916,16.03,31.94,4.61,8.72,0,6.261,0
"16","2024-02-08 18:00:00",1006.95,852.551827491466,16.13,29.03,4.65,8.76,0.103,6.883,-0.0055
"17","2024-02-08 19:00:00",964.85,847.556406627258,16.06,27.86,4.7,8.77,0.117,7.009,-3e-04
"18","2024-02-08 20:00:00",891.95,828.240779285655,15.68,26.87,4.75,8.72,0.842,6.67,0.1817
"19","2024-02-08 21:00:00",864.55,817.667138456415,15.78,28.04,4.76,8.73,0.892,6.583,0.442
"20","2024-02-08 22:00:00",862.2,823.911414536675,15.82,29.78,4.74,8.75,0.095,6.836,0.0128
"21","2024-02-08 23:00:00",857.4,824.077928565482,15.07,33.99,4.59,8.58,0.094,6.902,-0.0029
"22","2024-02-08",983.6,868.370660228124,14.45,39.54,4.31,8.22,0,5.468,0
"23","2024-02-09 01:00:00",1020.1,876.696361668471,13.81,38.85,4.37,8.03,0.742,6.057,-0.3961
"24","2024-02-09 02:00:00",1055.2,900.840895845475,12.96,41.81,4.2,7.64,0.66,5.331,-0.2537
"25","2024-02-09 03:00:00",1052.7,893.347764549163,12.26,43.28,4.1,7.44,0.926,4.987,-0.2647
"26","2024-02-09 04:00:00",1050.85,904.171176421614,12.08,46.27,4.04,7.35,0.098,4.454,-0.0352
"27","2024-02-09 05:00:00",1043.6,915.827158438098,14.39,31.08,4.72,8.55,0.116,6.267,-0.0248
"28","2024-02-09 06:00:00",1007.2,NA,14.38,30.11,4.7,8.56,0.096,6.342,-0.004
"29","2024-02-09 07:00:00",987.55,NA,14.06,30.57,4.65,8.53,0.164,6.289,0.0318
"30","2024-02-09 08:00:00",973.05,NA,13.91,30.93,4.69,8.51,1.108,6.322,0.5164
"31","2024-02-09 09:00:00",NA,NA,13.86,30.91,4.69,8.5,1.152,6.278,0.654
"32","2024-02-09 10:00:00",NA,NA,13.06,31.4,4.67,8.3,0.091,6.049,0.0131
"33","2024-02-09 11:00:00",876.6,NA,11.78,33.81,4.58,7.79,0.091,5.562,0.0334
"34","2024-02-09 12:00:00",961.7,NA,10.93,36.95,4.47,7.4,0.093,5.031,-0.0229
"35","2024-02-09 13:00:00",1025.1,NA,10.63,40.69,4.36,7.25,0.094,4.653,-0.049
"36","2024-02-09 14:00:00",1032.15,NA,10.73,45.05,4.26,7.19,0.098,4.492,-0.0571
"37","2024-02-15 08:00:00",800.4,747.981017400716,6.63,78.26,3.34,6.64,0.357,2.705,-0.0868
"38","2024-02-15 09:00:00",778.45,749.646157688785,6.42,76.99,3.34,6.64,0.286,2.738,-0.0425
"39","2024-02-15 10:00:00",687.25,686.037798684539,6.25,76.63,3.32,6.62,0.87,2.888,-0.077
"40","2024-02-15 11:00:00",889.1,822.82907334943,6.89,44.37,4.4,6.78,0.884,5.465,-0.0165
"41","2024-02-15 12:00:00",917.85,838.398135042877,8.24,32.7,5.07,7.25,0.901,7.28,0.0049
"42","2024-02-15 13:00:00",858.05,804.845558238282,8.75,28.48,5.67,7.55,0.996,7.523,0.1154
"43","2024-02-15 14:00:00",850.75,795.354258596287,9.56,26.89,5.94,7.7,1.055,7.575,0.2318
"44","2024-02-15 15:00:00",857.6,806.01115643993,9.89,28.52,5.83,7.71,1.097,7.602,0.421
"45","2024-02-15 16:00:00",855.85,818.49970860045,10.95,38.08,4.85,7.56,1.097,6.426,-0.167
"46","2024-02-15 17:00:00",954.4,834.235284322704,12.2,45.16,4.45,7.49,0.283,5.505,-0.0288
"47","2024-02-15 18:00:00",1101.95,873.366081092332,13.28,50.46,4.05,7.47,0.116,5.259,-0.0289
"48","2024-02-15 19:00:00",1116,888.352343684955,14,30.35,5.95,8.24,0.093,7.283,-0.0344
"49","2023-08-08 04:30:00",1353.25,1501.12396969445,0.5,52.53,11.16,7.15,0.955,27.578,-0.1466
"50","2023-08-08 05:30:00",1401.5,1523.60336358338,0.14,61.17,10.48,6.99,0.923,26.661,0.0086
"51","2023-08-08 06:30:00",1057.95,1093.99716926151,0.16,71.21,9.79,6.91,0.852,25.829,-0.1281
"52","2023-08-08 07:30:00",1094.05,1109.81600199817,0.22,82.32,9.05,6.89,0.793,25.199,-0.0943
"53","2023-08-08 08:30:00",1399.1,1469.48630422113,0.12,95.96,NA,6.89,0.704,24.423,-0.0291
