"","datetime","DOC","DO","fDOM","S","pH","H","T","flow"
"1","2024-07-15 10:00:00",582.632586795438,0.42,91.98,7.71,6.82,0.766,27.281,-0.0263
"2","2024-07-15 11:00:00",726.91699275664,0.39,99.84,7.69,6.61,0.727,26.851,-0.0063
"3","2024-07-15 12:00:00",NA,0.41,101.89,7.68,6.61,0.66,26.771,-0.0101
"4","2024-07-15 13:00:00",NA,0.57,100.61,7.69,6.56,0.648,26.851,0.0104
"5","2024-07-15 14:00:00",NA,1.02,90.73,7.71,6.63,0.68,27.325,-0.0107
"6","2024-07-15 15:00:00",NA,0.65,69.47,7.75,6.7,0.82,28.922,0.0025
"7","2024-07-15 16:00:00",789.026725501624,0.92,78.28,7.73,6.57,0.874,29.869,0.0667
"8","2024-07-15 17:00:00",860.044958787778,0.55,86.94,7.71,6.63,0.992,30.108,0.1499
"9","2024-07-15 18:00:00",894.180334693198,0.51,103.92,7.67,6.49,1.028,30.163,0.3161
"10","2024-07-15 19:00:00",912.49687786196,0.37,113,7.73,6.45,1.105,31.099,0.2798
"11","2024-07-15 20:00:00",763.633336108567,0.34,116.69,7.78,6.65,1.097,31.362,0.1608
"12","2024-07-15 21:00:00",707.434851386229,0.34,125.37,7.82,6.7,1.078,31.11,-0.1857
"13","2024-07-15 22:00:00",542.918990924985,0.34,139.97,7.84,6.43,1.037,30.097,-0.1585
"14","2024-07-15 23:00:00",511.614353509283,0.35,150.01,7.86,6.52,0.987,29.479,-0.219
"15","2024-07-15",495.462492715011,0.36,150.89,7.5,6.57,0.953,28.649,-0.0921
"16","2024-07-16 01:00:00",503.621680126551,0.35,142.27,7.85,6.63,0.919,29.775,-0.0778
"17","2024-07-16 02:00:00",518.524685704771,0.34,144.79,7.84,6.54,0.924,29.88,-0.011
"18","2024-07-16 03:00:00",541.58687869453,4.04,51.33,7.88,7.21,0.921,31.675,0.008
"19","2024-07-16 04:00:00",592.78994255266,4.97,46.19,7.88,7.27,0.959,31.91,0.0803
"20","2024-07-16 05:00:00",630.921655149446,6.19,42.03,7.89,7.73,0.981,32.052,0.0858
"21","2024-07-16 06:00:00",627.924402630922,5.55,43.51,7.9,7.53,1.01,31.787,0.0947
"22","2024-07-16 07:00:00",672.300391307968,3.74,47.18,7.92,7.18,0.983,31.079,-0.0432
"23","2024-07-16 08:00:00",637.582216301724,1.67,60.4,7.97,6.93,0.977,29.703,-0.1203
"24","2024-07-16 09:00:00",553.159603696611,0.9,69.45,8,6.7,0.901,28.779,-0.0556
"25","2024-07-16 10:00:00",554.658229955874,0.7,82.95,8.06,6.68,0.848,27.842,-0.0188
"26","2024-07-16 11:00:00",535.259345599867,0.54,93.63,8.09,6.63,0.805,27.291,-0.0373
"27","2024-07-16 12:00:00",549.662809091666,0.48,97.7,8.1,6.6,0.734,27.163,-0.0154
"28","2024-07-16 13:00:00",594.455082840729,0.52,98.15,8.11,6.59,0.699,27.381,-0.0138
"29","2024-07-16 14:00:00",671.301307135126,1.08,87.92,8.08,6.65,0.71,27.924,0.0053
"30","2024-07-16 15:00:00",714.927982682541,2.3,72.33,8.04,6.78,0.804,29.17,0.0371
"31","2024-07-16 16:00:00",742.236283406877,5.67,52.02,7.98,7.24,0.886,31.521,0.0723
"32","2024-07-16 17:00:00",769.877612188827,4.25,59.66,8.01,6.96,0.96,31.833,0.1258
