"year","month","GW_m3s"
2024,1,0.00179403229302393
2024,2,0.00117988952593783
2024,3,0.00123990888952813
2024,4,0.00354525372426308
2024,5,0.0062356366061007
2024,6,-0.00137856984856263
2024,7,1.40573349964832e-05
2024,8,-0.000515435893999171
2024,9,0.000867112271955631
2024,10,0.00123698114478976
2024,11,0.000517603554225489
2024,12,0.000171859448790241
2023,5,NA
2023,6,0.00177601068310988
2023,7,0.00182494491451551
2023,8,0.00172304288568536
2023,9,-0.000198378906459192
2023,10,0.000724831772073268
2023,11,-0.000487139339351491
2023,12,0.000904400704729768
