"TOA5","GCREW_MARSH_OUTLET","CR1000X","27811","CR1000X.Std.05.01","CPU:GCREW_MARSH_OUTLET_v4.5CR1X.CR1X","21222","FLUX"
"TIMESTAMP","RECORD","CH4_ppm","CH4_ppm_sd","H2O_ppm","H2O_ppm_sd","cCO2_ppm","CCO2_ppm_sd","CH4d_ppm","CH4d_ppm_sd","CO2d_ppm","CO2d_ppm_sd","GasP_torr","GasP_torr_sd","GasT_C","GasT_C_sd","AmbT_C","AmbT_C_sd","RD0_us","RD0_us_sd","RD1_us","RD1_us_sd","Fit_Flag","MIU_VALVE","LGR_Time","MIU_DESC"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-07-12 01:50:40",228079,336.1072,0.1445903,471.0498,25.68719,5149.39,5.11555,336.2656,0.1450378,5151.817,5.085572,139.6452,0.01568637,30.77663,0.0005412788,31.87697,0.007821769,10.19458,0.002621523,7.185444,0.001820901,3,0,"   07/12/2023 02:54:52.575",""
"2023-07-12 01:51:00",228080,335.7939,0.1759669,478.3872,24.0863,5163.786,4.213233,335.9546,0.176409,5166.258,4.245622,139.6411,0.01797339,30.77489,0.0006661556,31.88966,0.005926835,10.19456,0.00257443,7.185062,0.002504533,3,0,"   07/12/2023 02:55:12.114",""
"2023-07-12 01:51:20",228081,335.4758,0.2016992,473.5137,46.10893,5176.129,4.812632,335.6348,0.2120451,5178.581,4.771851,139.6444,0.01877182,30.77324,0.0004917524,31.87959,0.006760434,10.19565,0.003869874,7.186472,0.001903498,3,0,"   07/12/2023 02:55:31.651",""
"2023-07-12 01:51:40",228082,335.2221,0.1919328,486.9869,57.58894,5189.918,5.090967,335.3855,0.1998707,5192.447,5.005766,139.6443,0.0130025,30.77177,0.0006746231,31.88487,0.006863693,10.19448,0.004286389,7.186135,0.002173242,3,0,"   07/12/2023 02:55:51.191",""
"2023-07-12 01:52:00",228083,334.9726,0.1512601,470.449,57.50096,5204.843,4.603154,335.1303,0.1643169,5207.293,4.603981,139.6418,0.01715449,30.76982,0.0005178012,31.89325,0.007678841,10.19361,0.002592979,7.185695,0.002417755,3,0,"   07/12/2023 02:56:10.730",""
"2023-07-12 01:52:20",228084,334.6464,0.1614176,477.1403,33.70744,5219.757,4.766928,334.8062,0.1637774,5222.248,4.730102,139.6467,0.02186772,30.76885,0.0004552056,31.89149,0.008701173,10.19494,0.003367309,7.185457,0.001743108,3,0,"   07/12/2023 02:56:30.270",""
"2023-07-12 01:52:40",228085,334.291,0.1468139,476.8294,33.58446,5233.924,4.477732,334.4505,0.1467147,5236.421,4.505066,139.6408,0.0158954,30.76735,0.0004151781,31.88777,0.007992106,10.19551,0.002505702,7.185404,0.001593368,3,0,"   07/12/2023 02:56:49.809",""
"2023-07-12 01:53:00",228086,334.0349,0.1657044,469.9092,34.40682,5248.377,5.477423,334.1919,0.1674536,5250.845,5.49535,139.6447,0.01499818,30.76588,0.0004950243,31.88339,0.008134097,10.19395,0.002655788,7.18574,0.001583085,3,0,"   07/12/2023 02:57:09.348",""
"2023-07-12 01:53:20",228087,333.7646,0.1219556,471.0394,25.76291,5261.997,4.87016,333.9219,0.1236155,5264.476,4.825942,139.6435,0.01333366,30.76453,0.0005674174,31.8858,0.006235563,10.19296,0.002796314,7.185997,0.002432171,3,0,"   07/12/2023 02:57:28.886",""
"2023-07-12 01:53:40",228088,333.3922,0.1426732,479.8878,31.50354,5277.223,6.268009,333.5522,0.1417241,5279.757,6.25118,139.6431,0.01589461,30.7629,0.0006424041,31.87919,0.005501342,10.19319,0.002081445,7.185691,0.002344966,3,0,"   07/12/2023 02:57:48.425",""
"2023-07-12 01:54:00",228089,333.1229,0.191433,474.8463,24.15075,5292.457,5.129065,333.2812,0.1939116,5294.971,5.132313,139.6382,0.0206491,30.76108,0.0006103371,31.86644,0.006618514,10.19269,0.003094641,7.185619,0.002629316,3,0,"   07/12/2023 02:58:07.965",""
"2023-07-12 01:54:20",228090,332.8217,0.1739889,478.2921,28.3633,5309.287,4.452478,332.981,0.1757992,5311.827,4.427429,139.6454,0.02009142,30.75976,0.0006683073,31.86729,0.005350783,10.19284,0.002433426,7.184605,0.00227565,3,0,"   07/12/2023 02:58:27.503",""
