"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2022-04-18 19:30:00","RM Young 05103-10-L",,,,66.14266,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 19:45:00","RM Young 05103-10-L",,,,68.02905,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 20:00:00","RM Young 05103-10-L",,,,79.79955,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 20:15:00","RM Young 05103-10-L",,,,75.33738,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 20:30:00","RM Young 05103-10-L",,,,64.65489,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 20:45:00","RM Young 05103-10-L",,,,50.91461,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 21:00:00","RM Young 05103-10-L",,,,55.64202,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 21:15:00","RM Young 05103-10-L",,,,51.61957,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 21:30:00","RM Young 05103-10-L",,,,55.05651,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 21:45:00","RM Young 05103-10-L",,,,141.7738,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 22:00:00","RM Young 05103-10-L",,,,279.9241,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 22:15:00","RM Young 05103-10-L",,,,290.5099,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 22:30:00","RM Young 05103-10-L",,,,301.6758,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 22:45:00","RM Young 05103-10-L",,,,281.229,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 23:00:00","RM Young 05103-10-L",,,,291.0107,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 23:15:00","RM Young 05103-10-L",,,,280.4996,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 23:30:00","RM Young 05103-10-L",,,,299.9653,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-18 23:45:00","RM Young 05103-10-L",,,,301.0381,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-19 00:00:00","RM Young 05103-10-L",,,,299.0903,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-19 00:15:00","RM Young 05103-10-L",,,,293.6261,"wx-winddir15","0fc57275",0,0,
"GCW","W","2022-04-19 00:30:00","RM Young 05103-10-L",,,,292.7581,"wx-winddir15","0fc57275",0,0,
