"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2023-01-01 00:00:00","LI-190R",,,,0.355,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 00:15:00","LI-190R",,,,0.282,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 00:30:00","LI-190R",,,,0.376,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 00:45:00","LI-190R",,,,0.393,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 01:00:00","LI-190R",,,,0.171,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 01:15:00","LI-190R",,,,0.12,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 01:30:00","LI-190R",,,,0.201,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 01:45:00","LI-190R",,,,0.162,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 02:00:00","LI-190R",,,,0.154,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 02:15:00","LI-190R",,,,0.051,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 02:30:00","LI-190R",,,,0.132,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 02:45:00","LI-190R",,,,0.188,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 03:00:00","LI-190R",,,,0.222,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 03:15:00","LI-190R",,,,0.256,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 03:30:00","LI-190R",,,,0.436,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 03:45:00","LI-190R",,,,0.427,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 04:00:00","LI-190R",,,,0.432,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 04:15:00","LI-190R",,,,0.406,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 04:30:00","LI-190R",,,,0.402,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 04:45:00","LI-190R",,,,0.398,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 05:00:00","LI-190R",,,,0.445,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 05:15:00","LI-190R",,,,0.423,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 05:30:00","LI-190R",,,,0.41,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 05:45:00","LI-190R",,,,0.423,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 06:00:00","LI-190R",,,,0.428,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 06:15:00","LI-190R",,,,0.363,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 06:30:00","LI-190R",,,,0.381,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 06:45:00","LI-190R",,,,0.457,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 07:00:00","LI-190R",,,,0.701,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 07:15:00","LI-190R",,,,1.197,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 07:30:00","LI-190R",,,,7.909,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 07:45:00","LI-190R",,,,26.65,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 08:00:00","LI-190R",,,,42.52,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 08:15:00","LI-190R",,,,116,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 08:30:00","LI-190R",,,,228.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 08:45:00","LI-190R",,,,184.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 09:00:00","LI-190R",,,,330.5,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 09:15:00","LI-190R",,,,389.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 09:30:00","LI-190R",,,,452.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 09:45:00","LI-190R",,,,515.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 10:00:00","LI-190R",,,,559.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 10:15:00","LI-190R",,,,607,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 10:30:00","LI-190R",,,,648.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 10:45:00","LI-190R",,,,685.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 11:00:00","LI-190R",,,,715.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 11:15:00","LI-190R",,,,740.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 11:30:00","LI-190R",,,,761.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 11:45:00","LI-190R",,,,775.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 12:00:00","LI-190R",,,,783.3,"wx-par-den15","0fc57275",,0,
