"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2023-01-01 00:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 00:15:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 00:30:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 00:45:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 01:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 01:15:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 01:30:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 01:45:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 02:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 02:15:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 02:30:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 02:45:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 03:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 03:15:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 03:30:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 03:45:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 04:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 04:15:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 04:30:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 04:45:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 05:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 05:15:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 05:30:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 05:45:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 06:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 06:15:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 06:30:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 06:45:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 07:00:00","LI-200R",,,,0,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 07:15:00","LI-200R",,,,0.004,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 07:30:00","LI-200R",,,,0.026,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 07:45:00","LI-200R",,,,0.087,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 08:00:00","LI-200R",,,,0.118,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 08:15:00","LI-200R",,,,0.396,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 08:30:00","LI-200R",,,,0.845,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 08:45:00","LI-200R",,,,0.609,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 09:00:00","LI-200R",,,,1.129,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 09:15:00","LI-200R",,,,1.278,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 09:30:00","LI-200R",,,,1.411,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 09:45:00","LI-200R",,,,1.534,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 10:00:00","LI-200R",,,,1.653,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 10:15:00","LI-200R",,,,1.783,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 10:30:00","LI-200R",,,,1.904,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 10:45:00","LI-200R",,,,2.006,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 11:00:00","LI-200R",,,,2.095,"wx-slr-tf15","0fc57275",,0,
"GCW","W","2023-01-01 11:15:00","LI-200R",,,,2.176,"wx-slr-tf15","0fc57275",,0,
