"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2024-01-01 00:00:00","LI-200R",,,,0.045,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 00:00:00","LI-200R",,,,0.045,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 00:15:00","LI-200R",,,,0.049,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 00:15:00","LI-200R",,,,0.049,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 00:30:00","LI-200R",,,,0.088,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 00:30:00","LI-200R",,,,0.088,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 00:45:00","LI-200R",,,,0.092,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 00:45:00","LI-200R",,,,0.092,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 01:00:00","LI-200R",,,,0.067,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 01:00:00","LI-200R",,,,0.067,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 01:15:00","LI-200R",,,,0.09,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 01:15:00","LI-200R",,,,0.09,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 01:30:00","LI-200R",,,,0.098,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 01:30:00","LI-200R",,,,0.098,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 01:45:00","LI-200R",,,,0.128,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 01:45:00","LI-200R",,,,0.128,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 02:00:00","LI-200R",,,,0.115,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 02:00:00","LI-200R",,,,0.115,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 02:15:00","LI-200R",,,,0.064,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 02:15:00","LI-200R",,,,0.064,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 02:30:00","LI-200R",,,,0.046,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 02:30:00","LI-200R",,,,0.046,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 02:45:00","LI-200R",,,,0.041,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 02:45:00","LI-200R",,,,0.041,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 03:00:00","LI-200R",,,,0.046,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 03:00:00","LI-200R",,,,0.046,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 03:15:00","LI-200R",,,,0.044,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 03:15:00","LI-200R",,,,0.044,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 03:30:00","LI-200R",,,,0.055,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 03:30:00","LI-200R",,,,0.055,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 03:45:00","LI-200R",,,,0.044,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 03:45:00","LI-200R",,,,0.044,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 04:00:00","LI-200R",,,,0.038,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 04:00:00","LI-200R",,,,0.038,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 04:15:00","LI-200R",,,,0.036,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 04:15:00","LI-200R",,,,0.036,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 04:30:00","LI-200R",,,,0.041,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 04:30:00","LI-200R",,,,0.041,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 04:45:00","LI-200R",,,,0.077,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 04:45:00","LI-200R",,,,0.077,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 05:00:00","LI-200R",,,,0.123,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 05:00:00","LI-200R",,,,0.123,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 05:15:00","LI-200R",,,,0.077,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 05:15:00","LI-200R",,,,0.077,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 05:30:00","LI-200R",,,,0.071,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 05:30:00","LI-200R",,,,0.071,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 05:45:00","LI-200R",,,,0.09,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 05:45:00","LI-200R",,,,0.09,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 06:00:00","LI-200R",,,,0.071,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 06:00:00","LI-200R",,,,0.071,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 06:15:00","LI-200R",,,,0.108,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 06:15:00","LI-200R",,,,0.108,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 06:30:00","LI-200R",,,,0.111,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 06:30:00","LI-200R",,,,0.111,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 06:45:00","LI-200R",,,,0.077,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 06:45:00","LI-200R",,,,0.077,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 07:00:00","LI-200R",,,,0.155,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 07:00:00","LI-200R",,,,0.155,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 07:15:00","LI-200R",,,,0.94,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 07:15:00","LI-200R",,,,0.94,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 07:30:00","LI-200R",,,,3.031,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 07:30:00","LI-200R",,,,3.031,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 07:45:00","LI-200R",,,,7.704,"wx-slr-fd15","67ab29eb",,0,
