"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2024-01-01 00:00:00","CS106",,,,0.8835528,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 00:00:00","CS106",,,,0.8835528,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 00:15:00","CS106",,,,0.6631886,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 00:15:00","CS106",,,,0.6631886,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 00:30:00","CS106",,,,0.6837988,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 00:30:00","CS106",,,,0.6837988,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 00:45:00","CS106",,,,0.5734867,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 00:45:00","CS106",,,,0.5734867,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 01:00:00","CS106",,,,0.4993264,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:00:00","CS106",,,,0.4993264,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 01:15:00","CS106",,,,0.4528286,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:15:00","CS106",,,,0.4528286,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 01:30:00","CS106",,,,0.3829254,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:30:00","CS106",,,,0.3829254,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 01:45:00","CS106",,,,0.3642583,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:45:00","CS106",,,,0.3642583,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 02:00:00","CS106",,,,0.4015818,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:00:00","CS106",,,,0.4015818,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 02:15:00","CS106",,,,0.457486,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:15:00","CS106",,,,0.457486,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 02:30:00","CS106",,,,0.494703,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:30:00","CS106",,,,0.494703,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 02:45:00","CS106",,,,0.5690086,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:45:00","CS106",,,,0.5690086,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 03:00:00","CS106",,,,0.5875578,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:00:00","CS106",,,,0.5875578,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 03:15:00","CS106",,,,0.6246265,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:15:00","CS106",,,,0.6246265,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 03:30:00","CS106",,,,0.6986362,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:30:00","CS106",,,,0.6986362,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 03:45:00","CS106",,,,0.6661782,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:45:00","CS106",,,,0.6661782,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 04:00:00","CS106",,,,0.7075375,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:00:00","CS106",,,,0.7075375,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 04:15:00","CS106",,,,0.770744,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:15:00","CS106",,,,0.770744,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 04:30:00","CS106",,,,0.7278956,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:30:00","CS106",,,,0.7278956,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 04:45:00","CS106",,,,0.7137415,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:45:00","CS106",,,,0.7137415,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 05:00:00","CS106",,,,0.7041717,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:00:00","CS106",,,,0.7041717,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 05:15:00","CS106",,,,0.718238,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:15:00","CS106",,,,0.718238,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 05:30:00","CS106",,,,0.7229546,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:30:00","CS106",,,,0.7229546,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 05:45:00","CS106",,,,0.7047387,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:45:00","CS106",,,,0.7047387,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 06:00:00","CS106",,,,0.6956807,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:00:00","CS106",,,,0.6956807,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 06:15:00","CS106",,,,0.6997705,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:15:00","CS106",,,,0.6997705,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 06:30:00","CS106",,,,0.686029,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:30:00","CS106",,,,0.686029,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 06:45:00","CS106",,,,0.7138087,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:45:00","CS106",,,,0.7138087,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 07:00:00","CS106",,,,0.6817049,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 07:00:00","CS106",,,,0.6817049,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 07:15:00","CS106",,,,0.6630615,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 07:15:00","CS106",,,,0.6630615,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 07:30:00","CS106",,,,0.6130542,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 07:30:00","CS106",,,,0.6130542,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 07:45:00","CS106",,,,0.5855178,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 07:45:00","CS106",,,,0.5855178,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 08:00:00","CS106",,,,0.6236377,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 08:00:00","CS106",,,,0.6236377,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 08:15:00","CS106",,,,0.6059337,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 08:15:00","CS106",,,,0.6059337,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 08:30:00","CS106",,,,0.5688437,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 08:30:00","CS106",,,,0.5688437,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 08:45:00","CS106",,,,0.6708766,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 08:45:00","CS106",,,,0.6708766,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 09:00:00","CS106",,,,0.7906113,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 09:00:00","CS106",,,,0.7906113,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 09:15:00","CS106",,,,0.8810033,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 09:15:00","CS106",,,,0.8810033,"wx-svp15","23839d1e",,0,
"GCW","W","2024-01-01 09:30:00","CS106",,,,0.9942399,"wx-svp15","67ab29eb",,0,
"GCW","W","2024-01-01 09:30:00","CS106",,,,0.9942399,"wx-svp15","23839d1e",,0,
