"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2025-01-01 00:00:00","CS106",,,,1000.215,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 00:15:00","CS106",,,,1000.404,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 00:30:00","CS106",,,,1000.708,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 00:45:00","CS106",,,,1000.853,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 01:00:00","CS106",,,,1000.888,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 01:15:00","CS106",,,,1000.865,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 01:30:00","CS106",,,,1000.994,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 01:45:00","CS106",,,,1001.255,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 02:00:00","CS106",,,,1001.274,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 02:15:00","CS106",,,,1001.324,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 02:30:00","CS106",,,,1001.295,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 02:45:00","CS106",,,,1001.364,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 03:00:00","CS106",,,,1001.532,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 03:15:00","CS106",,,,1001.524,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 03:30:00","CS106",,,,1001.438,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 03:45:00","CS106",,,,1001.327,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 04:00:00","CS106",,,,1001.469,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 04:15:00","CS106",,,,1001.501,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 04:30:00","CS106",,,,1001.731,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 04:45:00","CS106",,,,1001.851,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 05:00:00","CS106",,,,1002.052,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 05:15:00","CS106",,,,1002.381,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 05:30:00","CS106",,,,1002.579,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 05:45:00","CS106",,,,1002.76,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 06:00:00","CS106",,,,1002.937,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 06:15:00","CS106",,,,1003.142,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 06:30:00","CS106",,,,1003.403,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 06:45:00","CS106",,,,1003.686,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 07:00:00","CS106",,,,1003.778,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 07:15:00","CS106",,,,1003.888,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 07:30:00","CS106",,,,1004.229,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 07:45:00","CS106",,,,1004.503,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 08:00:00","CS106",,,,1004.771,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 08:15:00","CS106",,,,1005.152,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 08:30:00","CS106",,,,1005.416,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 08:45:00","CS106",,,,1005.723,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 09:00:00","CS106",,,,1006.019,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 09:15:00","CS106",,,,1006.215,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 09:30:00","CS106",,,,1006.57,"wx-barpress15","db1e456f",1,0,
"GCW","W","2025-01-01 09:45:00","CS106",,,,1006.783,"wx-barpress15","db1e456f",1,0,
