"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2025-01-01 00:00:00","RM Young 05103-10-L",,,,0.98,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 00:15:00","RM Young 05103-10-L",,,,0.8624,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 00:30:00","RM Young 05103-10-L",,,,0.4704,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 00:45:00","RM Young 05103-10-L",,,,0.784,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 01:00:00","RM Young 05103-10-L",,,,0.7644,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 01:15:00","RM Young 05103-10-L",,,,0,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 01:30:00","RM Young 05103-10-L",,,,0,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 01:45:00","RM Young 05103-10-L",,,,0.8231999,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 02:00:00","RM Young 05103-10-L",,,,1.1368,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 02:15:00","RM Young 05103-10-L",,,,1.1956,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 02:30:00","RM Young 05103-10-L",,,,0.9604,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 02:45:00","RM Young 05103-10-L",,,,1.176,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 03:00:00","RM Young 05103-10-L",,,,1.176,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 03:15:00","RM Young 05103-10-L",,,,0.9211999,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 03:30:00","RM Young 05103-10-L",,,,1.078,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 03:45:00","RM Young 05103-10-L",,,,1.3132,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 04:00:00","RM Young 05103-10-L",,,,0.9604,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 04:15:00","RM Young 05103-10-L",,,,1.3328,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 04:30:00","RM Young 05103-10-L",,,,1.3328,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 04:45:00","RM Young 05103-10-L",,,,0.9995999,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 05:00:00","RM Young 05103-10-L",,,,1.6072,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 05:15:00","RM Young 05103-10-L",,,,1.5876,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 05:30:00","RM Young 05103-10-L",,,,2.2932,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 05:45:00","RM Young 05103-10-L",,,,5.3704,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 06:00:00","RM Young 05103-10-L",,,,3.9984,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 06:15:00","RM Young 05103-10-L",,,,3.9788,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 06:30:00","RM Young 05103-10-L",,,,6.664,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 06:45:00","RM Young 05103-10-L",,,,3.7828,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 07:00:00","RM Young 05103-10-L",,,,5.4096,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 07:15:00","RM Young 05103-10-L",,,,7.467599,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 07:30:00","RM Young 05103-10-L",,,,3.4496,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 07:45:00","RM Young 05103-10-L",,,,6.076,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 08:00:00","RM Young 05103-10-L",,,,5.9388,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 08:15:00","RM Young 05103-10-L",,,,6.487599,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 08:30:00","RM Young 05103-10-L",,,,6.8404,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 08:45:00","RM Young 05103-10-L",,,,6.134799,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 09:00:00","RM Young 05103-10-L",,,,7.4284,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 09:15:00","RM Young 05103-10-L",,,,7.467599,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 09:30:00","RM Young 05103-10-L",,,,8.134,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 09:45:00","RM Young 05103-10-L",,,,8.82,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 10:00:00","RM Young 05103-10-L",,,,8.8004,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 10:15:00","RM Young 05103-10-L",,,,8.741599,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 10:30:00","RM Young 05103-10-L",,,,6.7228,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 10:45:00","RM Young 05103-10-L",,,,7.644,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 11:00:00","RM Young 05103-10-L",,,,8.447599,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 11:15:00","RM Young 05103-10-L",,,,8.251599,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 11:30:00","RM Young 05103-10-L",,,,9.016,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 11:45:00","RM Young 05103-10-L",,,,6.3308,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 12:00:00","RM Young 05103-10-L",,,,10.5448,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 12:15:00","RM Young 05103-10-L",,,,10.78,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 12:30:00","RM Young 05103-10-L",,,,8.0948,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 12:45:00","RM Young 05103-10-L",,,,7.898799,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 13:00:00","RM Young 05103-10-L",,,,10.1528,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 13:15:00","RM Young 05103-10-L",,,,8.231999,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 13:30:00","RM Young 05103-10-L",,,,9.7804,"wx-maxws15","db1e456f",0,0,
"GCW","W","2025-01-01 13:45:00","RM Young 05103-10-L",,,,9.0356,"wx-maxws15","db1e456f",0,0,
