"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2025-01-01 00:00:00","CS EE181",,,,4.65,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 00:15:00","CS EE181",,,,4.618,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 00:30:00","CS EE181",,,,3.821,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 00:45:00","CS EE181",,,,3.717,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 01:00:00","CS EE181",,,,3.547,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 01:15:00","CS EE181",,,,3.489,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 01:30:00","CS EE181",,,,3.32,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 01:45:00","CS EE181",,,,3.652,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 02:00:00","CS EE181",,,,3.951,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 02:15:00","CS EE181",,,,4.222,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 02:30:00","CS EE181",,,,4.515,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 02:45:00","CS EE181",,,,4.644,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 03:00:00","CS EE181",,,,4.878,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 03:15:00","CS EE181",,,,5.056,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 03:30:00","CS EE181",,,,5.19,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 03:45:00","CS EE181",,,,5.323,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 04:00:00","CS EE181",,,,5.447,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 04:15:00","CS EE181",,,,5.729,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 04:30:00","CS EE181",,,,5.899,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 04:45:00","CS EE181",,,,5.945,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 05:00:00","CS EE181",,,,6.167,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 05:15:00","CS EE181",,,,6.605,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 05:30:00","CS EE181",,,,6.791,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 05:45:00","CS EE181",,,,6.768,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 06:00:00","CS EE181",,,,7.104,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 06:15:00","CS EE181",,,,7.289,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 06:30:00","CS EE181",,,,7.819,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 06:45:00","CS EE181",,,,7.808,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 07:00:00","CS EE181",,,,7.348,"wx-tempavg15","db1e456f",0,0,0
"GCW","W","2025-01-01 07:15:00","CS EE181",,,,7.546,"wx-tempavg15","db1e456f",0,0,0
