"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2025-01-01 00:00:00","CS106",,,,0.866746,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 00:15:00","CS106",,,,0.8301287,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 00:30:00","CS106",,,,0.7989077,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 00:45:00","CS106",,,,0.7887063,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 01:00:00","CS106",,,,0.7745934,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 01:15:00","CS106",,,,0.7841546,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 01:30:00","CS106",,,,0.7654734,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 01:45:00","CS106",,,,0.8121662,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 02:00:00","CS106",,,,0.8278936,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 02:15:00","CS106",,,,0.8318662,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 02:30:00","CS106",,,,0.8557692,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 02:45:00","CS106",,,,0.8627968,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 03:00:00","CS106",,,,0.865705,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 03:15:00","CS106",,,,0.8789596,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 03:30:00","CS106",,,,0.8850672,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 03:45:00","CS106",,,,0.8914811,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 04:00:00","CS106",,,,0.9096503,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 04:15:00","CS106",,,,0.9037837,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 04:30:00","CS106",,,,0.9446276,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 04:45:00","CS106",,,,0.9222865,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 05:00:00","CS106",,,,0.9625807,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 05:15:00","CS106",,,,0.990077,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 05:30:00","CS106",,,,0.9762435,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 05:45:00","CS106",,,,1.004084,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 06:00:00","CS106",,,,0.8830639,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 06:15:00","CS106",,,,0.8349957,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 06:30:00","CS106",,,,0.7478242,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 06:45:00","CS106",,,,0.7348478,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 07:00:00","CS106",,,,0.7202828,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 07:15:00","CS106",,,,0.7139896,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 07:30:00","CS106",,,,0.7187827,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 07:45:00","CS106",,,,0.6528909,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 08:00:00","CS106",,,,0.643368,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 08:15:00","CS106",,,,0.6329953,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 08:30:00","CS106",,,,0.6335292,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 08:45:00","CS106",,,,0.651863,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 09:00:00","CS106",,,,0.6573663,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 09:15:00","CS106",,,,0.6263197,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 09:30:00","CS106",,,,0.6465919,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 09:45:00","CS106",,,,0.6594653,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 10:00:00","CS106",,,,0.6595621,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 10:15:00","CS106",,,,0.6403497,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 10:30:00","CS106",,,,0.647112,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 10:45:00","CS106",,,,0.6576857,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 11:00:00","CS106",,,,0.6220883,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 11:15:00","CS106",,,,0.6329015,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 11:30:00","CS106",,,,0.6399426,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 11:45:00","CS106",,,,0.6471765,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 12:00:00","CS106",,,,0.6045578,"wx-vp15","db1e456f",,0,
"GCW","W","2025-01-01 12:15:00","CS106",,,,0.6085933,"wx-vp15","db1e456f",,0,
