
"TOA5","GCREW_MARSH_OUTLET","CR1000X","27811","CR1000X.Std.05.01","CPU:GCREW_MARSH_OUTLET_v4.5CR1X.CR1X","21222","SontekTable"
"TIMESTAMP","RECORD","SONTEK_ID","Sample_number","yyyy","MM","dd","hh","Minute","ss","Flowrate","Stage","Mean_velocity","Total_volume","Water_depth","Index_velocity","Cross_area","Water_temperature","System_status","Velocity_XZxc","Velocity_XZzc","Velocity_XZxL","Velocity_XZxR","Batt_Vol_Sontek","Pitch_angle","Roll_angle","Perc_submergance","IceScore"
"TS","RN","","","","","","","","","m","m","m/s","m3","m","m/s","m2","Celsius","unitless","m/s","m/s","m/s","m/s","volts","degrees","degrees","percent","integer"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-07-12 01:51:00",25342,"",7999,2023,7,12,2,42,0,-0.1962,1.191,-0.089,-64516.8,1.141,-0.091,2.203,28.62,0,-0.091,0.005,-0.037,-0.173,13.2,-1.8,-0,100,0
"2023-07-12 01:54:00",25343,"",7999,2023,7,12,2,48,0,-0.3202,1.177,-0.147,-64617.23,1.127,-0.155,2.177,28.45,0,-0.155,0.005,-0.046,-0.263,13.2,-1.9,-0,100,0
"2023-07-12 01:57:00",25344,"",7999,2023,7,12,2,48,0,-0.3202,1.177,-0.147,-64617.23,1.127,-0.155,2.177,28.45,0,-0.155,0.005,-0.046,-0.263,13.2,-1.9,-0,100,0
"2023-07-12 02:00:00",25345,"",7999,2023,7,12,2,54,0,-0.3439,1.17,-0.159,-64738.21,1.12,-0.169,2.164,28.33,0,-0.169,0.003,-0.056,-0.282,13.2,-1.9,-0,100,0
"2023-07-12 02:03:00",25346,"",7999,2023,7,12,2,54,0,-0.3439,1.17,-0.159,-64738.21,1.12,-0.169,2.164,28.33,0,-0.169,0.003,-0.056,-0.282,13.2,-1.9,-0,100,0
"2023-07-12 02:06:00",25347,"",7999,2023,7,12,3,0,0,-0.3847,1.162,-0.179,-64871.83,1.112,-0.189,2.15,28.26,0,-0.189,-0.001,-0.065,-0.315,13.2,-1.9,0,100,0
"2023-07-12 02:09:00",25348,"",7999,2023,7,12,3,0,0,-0.3847,1.162,-0.179,-64871.83,1.112,-0.189,2.15,28.26,0,-0.189,-0.001,-0.065,-0.315,13.2,-1.9,0,100,0
"2023-07-12 02:12:00",25349,"",7999,2023,7,12,3,6,0,-0.4073,1.156,-0.19,-65015.76,1.106,-0.209,2.138,28.12,0,-0.209,-0.004,-0.079,-0.341,13.2,-1.9,0,100,0
"2023-07-12 02:15:00",25350,"",7999,2023,7,12,3,6,0,-0.4073,1.156,-0.19,-65015.76,1.106,-0.209,2.138,28.12,0,-0.209,-0.004,-0.079,-0.341,13.2,-1.9,0,100,0
"2023-07-12 02:18:00",25351,"",7999,2023,7,12,3,12,0,-0.4144,1.151,-0.195,-65164.11,1.101,-0.217,2.129,27.93,0,-0.217,0.003,-0.086,-0.36,13.2,-1.9,0,100,0
"2023-07-12 02:21:00",25352,"",7999,2023,7,12,3,12,0,-0.4144,1.151,-0.195,-65164.11,1.101,-0.217,2.129,27.93,0,-0.217,0.003,-0.086,-0.36,13.2,-1.9,0,100,0
"2023-07-12 02:24:00",25353,"",7999,2023,7,12,3,18,0,-0.3818,1.141,-0.181,-65305.49,1.091,-0.206,2.111,27.84,0,-0.206,-0.001,-0.093,-0.315,13.2,-1.9,-0,100,0
"2023-07-12 02:27:00",25354,"",7999,2023,7,12,3,18,0,-0.3818,1.141,-0.181,-65305.49,1.091,-0.206,2.111,27.84,0,-0.206,-0.001,-0.093,-0.315,13.2,-1.9,-0,100,0
"2023-07-12 02:30:00",25355,"",7999,2023,7,12,3,24,0,-0.3395,1.14,-0.161,-65432.8,1.09,-0.182,2.11,27.68,0,-0.182,-0.005,-0.067,-0.303,13.2,-1.9,-0,100,0
"2023-07-12 02:33:00",25356,"",7999,2023,7,12,3,24,0,-0.3395,1.14,-0.161,-65432.8,1.09,-0.182,2.11,27.68,0,-0.182,-0.005,-0.067,-0.303,13.2,-1.9,-0,100,0
"2023-07-12 02:36:00",25357,"",7999,2023,7,12,3,30,0,-0.3912,1.137,-0.186,-65567.44,1.087,-0.213,2.104,27.55,0,-0.213,-0.001,-0.093,-0.341,13.2,-1.9,0,100,0
"2023-07-12 02:39:00",25358,"",7999,2023,7,12,3,30,0,-0.3912,1.137,-0.186,-65567.44,1.087,-0.213,2.104,27.55,0,-0.213,-0.001,-0.093,-0.341,13.2,-1.9,0,100,0
"2023-07-12 02:42:00",25359,"",7999,2023,7,12,3,36,0,-0.4284,1.128,-0.205,-65717.22,1.078,-0.234,2.087,27.4,0,-0.234,-0.004,-0.098,-0.36,13.2,-1.9,-0,100,0
"2023-07-12 02:45:00",25360,"",7999,2023,7,12,3,36,0,-0.4284,1.128,-0.205,-65717.22,1.078,-0.234,2.087,27.4,0,-0.234,-0.004,-0.098,-0.36,13.2,-1.9,-0,100,0
"2023-07-12 02:48:00",25361,"",7999,2023,7,12,3,42,0,-0.3493,1.125,-0.168,-65852.48,1.075,-0.192,2.081,27.22,0,-0.192,-0.003,-0.102,-0.32,13.2,-1.9,0,100,0
"2023-07-12 02:51:00",25362,"",7999,2023,7,12,3,42,0,-0.3493,1.125,-0.168,-65852.48,1.075,-0.192,2.081,27.22,0,-0.192,-0.003,-0.102,-0.32,13.2,-1.9,0,100,0
"2023-07-12 02:54:00",25363,"",7999,2023,7,12,3,48,0,-0.3927,1.12,-0.189,-65988.66,1.07,-0.215,2.073,27.15,0,-0.215,-0.002,-0.112,-0.339,13.2,-1.9,-0,100,0
"2023-07-12 02:57:00",25364,"",7999,2023,7,12,3,48,0,-0.3927,1.12,-0.189,-65988.66,1.07,-0.215,2.073,27.15,0,-0.215,-0.002,-0.112,-0.339,13.2,-1.9,-0,100,0
