"TOA5","GCREW_MARSH_OUTLET","CR1000X","27811","CR1000X.Std.05.01","CPU:GCREW_MARSH_OUTLET_v4.5_multiple instruments.CR1X","32882","SontekTable"
"TIMESTAMP","RECORD","SONTEK_ID","Sample_number","yyyy","MM","dd","hh","Minute","ss","Flowrate","Stage","Mean_velocity","Total_volume","Water_depth","Index_velocity","Cross_area","Water_temperature","System_status","Velocity_XZxc","Velocity_XZzc","Velocity_XZxL","Velocity_XZxR","Batt_Vol_Sontek","Pitch_angle","Roll_angle","Perc_submergance","IceScore"
"TS","RN","","","","","","","","","m","m","m/s","m3","m","m/s","m2","Celsius","unitless","m/s","m/s","m/s","m/s","volts","degrees","degrees","percent","integer"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-12-15 00:00:00",4020,"",7999,2024,12,14,23,51,5,-0.0011,0.643,-0.001,-107008,0.593,0,1.19,6.63,0,0,0,-0.016,-0.024,13.2,-1.1,0.5,100,0
"2024-12-15 00:03:00",4021,"",7999,2024,12,14,23,57,5,0.0002,0.646,0,-107008,0.596,0,1.195,6.67,0,0,0,-0.033,-0.033,13.2,-1.1,0.5,100,0
"2024-12-15 00:06:00",4022,"",7999,2024,12,14,23,57,5,0.0002,0.646,0,-107008,0.596,0,1.195,6.67,0,0,0,-0.033,-0.033,13.2,-1.1,0.5,100,0
"2024-12-15 00:09:00",4023,"",7999,2024,12,15,0,3,5,-0.0057,0.647,-0.005,-107009.4,0.597,-0.004,1.198,6.64,0,-0.004,-0.001,-0.012,-0.024,13.2,-1.1,0.5,100,0
"2024-12-15 00:12:00",4024,"",7999,2024,12,15,0,3,5,-0.0057,0.647,-0.005,-107009.4,0.597,-0.004,1.198,6.64,0,-0.004,-0.001,-0.012,-0.024,13.2,-1.1,0.5,100,0
"2024-12-15 00:15:00",4025,"",7999,2024,12,15,0,9,5,0.0011,0.649,0.001,-107009.8,0.599,0.001,1.201,6.68,0,0.001,0.001,0.002,-0.017,13.2,-1.1,0.5,100,0
"2024-12-15 00:18:00",4026,"",7999,2024,12,15,0,9,5,0.0011,0.649,0.001,-107009.8,0.599,0.001,1.201,6.68,0,0.001,0.001,0.002,-0.017,13.2,-1.1,0.5,100,0
"2024-12-15 00:21:00",4027,"",7999,2024,12,15,0,15,5,-0.0034,0.65,-0.003,-107010.5,0.6,-0.001,1.203,6.65,0,-0.001,0.001,-0.014,-0.009,13.2,-1.1,0.5,100,0
"2024-12-15 00:24:00",4028,"",7999,2024,12,15,0,15,5,-0.0034,0.65,-0.003,-107010.5,0.6,-0.001,1.203,6.65,0,-0.001,0.001,-0.014,-0.009,13.2,-1.1,0.5,100,0
"2024-12-15 00:27:00",4029,"",7999,2024,12,15,0,21,5,0.0015,0.647,0.001,-107010.6,0.597,0.001,1.197,6.63,0,0.001,-0.001,-0.002,-0.012,13.2,-1,0.5,100,0
"2024-12-15 00:30:00",4030,"",7999,2024,12,15,0,21,5,0.0015,0.647,0.001,-107010.6,0.597,0.001,1.197,6.63,0,0.001,-0.001,-0.002,-0.012,13.2,-1,0.5,100,0
"2024-12-15 00:33:00",4031,"",7999,2024,12,15,0,27,5,-0.0053,0.648,-0.004,-107011.6,0.598,-0.004,1.199,6.68,0,-0.004,-0.001,-0.026,-0.028,13.2,-1,0.5,100,0
"2024-12-15 00:36:00",4032,"",7999,2024,12,15,0,27,5,-0.0053,0.648,-0.004,-107011.6,0.598,-0.004,1.199,6.68,0,-0.004,-0.001,-0.026,-0.028,13.2,-1,0.5,100,0
"2024-12-15 00:39:00",4033,"",7999,2024,12,15,0,33,5,-0.0113,0.65,-0.009,-107015,0.6,-0.008,1.202,6.63,0,-0.008,-0.002,-0.007,-0.019,13.2,-1,0.5,100,0
"2024-12-15 00:42:00",4034,"",7999,2024,12,15,0,33,5,-0.0113,0.65,-0.009,-107015,0.6,-0.008,1.202,6.63,0,-0.008,-0.002,-0.007,-0.019,13.2,-1,0.5,100,0
"2024-12-15 00:45:00",4035,"",7999,2024,12,15,0,39,5,0.0029,0.65,0.002,-107015.7,0.6,0.001,1.204,6.69,0,0.001,-0.001,-0.016,-0.019,13.2,-1,0.5,100,0
"2024-12-15 00:48:00",4036,"",7999,2024,12,15,0,39,5,0.0029,0.65,0.002,-107015.7,0.6,0.001,1.204,6.69,0,0.001,-0.001,-0.016,-0.019,13.2,-1,0.5,100,0
"2024-12-15 00:51:00",4037,"",7999,2024,12,15,0,45,5,-0.0003,0.652,0,-107015.4,0.602,-0.001,1.207,6.64,0,-0.001,-0.001,-0.026,-0.019,13.2,-1,0.5,100,0
"2024-12-15 00:54:00",4038,"",7999,2024,12,15,0,45,5,-0.0003,0.652,0,-107015.4,0.602,-0.001,1.207,6.64,0,-0.001,-0.001,-0.026,-0.019,13.2,-1,0.5,100,0
"2024-12-15 00:57:00",4039,"",7999,2024,12,15,0,51,5,-0.0031,0.653,-0.003,-107016.2,0.603,-0.002,1.209,6.58,0,-0.002,-0.001,-0.049,-0.014,13.2,-1,0.5,100,0
"2024-12-15 01:00:00",4040,"",7999,2024,12,15,0,51,5,-0.0031,0.653,-0.003,-107016.2,0.603,-0.002,1.209,6.58,0,-0.002,-0.001,-0.049,-0.014,13.2,-1,0.5,100,0
"2024-12-15 01:03:00",4041,"",7999,2024,12,15,0,57,5,0.013,0.657,0.011,-107013.4,0.607,0.01,1.216,6.69,0,0.01,0.003,0.021,-0.012,13.2,-1,0.5,100,0
"2024-12-15 01:06:00",4042,"",7999,2024,12,15,0,57,5,0.013,0.657,0.011,-107013.4,0.607,0.01,1.216,6.69,0,0.01,0.003,0.021,-0.012,13.2,-1,0.5,100,0
