"Site","TIMESTAMP","DO_mgL","FDOM_RFU","Chlorophyll_ugL","Conductivity","DO_saturation","Salinity_PPT","TDS_mgL","pH","Temp_C","Depth_m"
"FLUME",2025-12-19 19:00:00,9.74,9.13,7.69,14.935,84.93,14.25,15460.28,7.45,5.516,1.142
"FLUME",2025-12-19 19:06:00,9.75,9.14,7.87,14.925,84.95,14.26,15470.2,7.44,5.476,1.128
"FLUME",2025-12-19 19:12:00,9.66,9.56,7.75,14.845,84.08,14.19,15403.94,7.43,5.445,1.105
"FLUME",2025-12-19 19:18:00,9.51,10.05,7.42,14.776,82.65,14.13,15355.25,7.41,5.393,1.085
"FLUME",2025-12-19 19:24:00,9.45,10.32,8.24,14.692,81.95,14.09,15310.2,7.38,5.3,1.062
"FLUME",2025-12-19 19:30:00,9.33,10.65,8.35,14.586,80.73,14,15222.55,7.37,5.252,1.044
"FLUME",2025-12-19 19:36:00,9.25,10.9,8.8,14.433,79.73,13.88,15112.74,7.36,5.15,1.03
"FLUME",2025-12-19 19:42:00,9.23,10.51,9.95,14.296,79.26,13.79,15022.89,7.34,5.016,1.009
"FLUME",2025-12-19 19:48:00,9.05,11.27,8.93,14.329,77.81,13.82,15046.88,7.34,5.048,0.99
"FLUME",2025-12-19 19:54:00,9.01,10.67,8.87,14.107,77.09,13.65,14854.46,7.33,4.863,0.979
"FLUME",2025-12-19 20:00:00,8.9,11.1,8.62,13.863,75.91,13.42,14668.21,7.32,4.818,0.98
"FLUME",2025-12-19 20:06:00,8.84,11.37,9.29,13.855,75.33,13.43,14675.01,7.31,4.777,0.976
"FLUME",2025-12-19 20:12:00,8.8,11.44,7.86,13.625,74.61,13.25,14494.38,7.31,4.625,0.985
"FLUME",2025-12-19 20:18:00,8.68,11.79,7.23,13.537,73.44,13.18,14426.12,7.3,4.563,0.971
"FLUME",2025-12-19 20:24:00,8.69,11.76,7.99,13.495,73.45,13.15,14396.25,7.29,4.522,0.976
"FLUME",2025-12-19 20:30:00,8.56,11.99,7.46,13.377,72.18,13.05,14311.27,7.27,4.466,0.961
"FLUME",2025-12-19 20:36:00,8.59,12.18,7.67,13.377,72.38,13.05,14308.05,7.26,4.458,0.967
"FLUME",2025-12-19 20:42:00,8.61,12.51,6.8,13.277,72.35,12.99,14245.31,7.25,4.363,0.972
"FLUME",2025-12-19 20:48:00,8.61,12.79,7,13.256,72.25,12.98,14226,7.24,4.322,0.967
"FLUME",2025-12-19 20:54:00,8.49,12.64,6.47,13.121,70.98,12.88,14142.64,7.24,4.214,0.954
"FLUME",2025-12-19 21:00:00,8.56,12.96,6.95,13.106,71.58,12.87,14126.09,7.23,4.19,0.934
"FLUME",2025-12-19 21:06:00,8.31,12.79,7.61,12.825,69.15,12.61,13880.72,7.22,4.101,0.908
"FLUME",2025-12-19 21:12:00,8.36,12.75,7.62,12.759,69.48,12.55,13821.13,7.21,4.063,0.905
"FLUME",2025-12-19 21:18:00,8.29,13.32,6.77,12.729,68.81,12.54,13806.31,7.21,4.021,0.898
"FLUME",2025-12-19 21:24:00,8.27,13.23,7.88,12.698,68.57,12.52,13794.04,7.22,3.974,0.9
"FLUME",2025-12-19 21:30:00,8.18,13.08,6.36,12.63,67.65,12.48,13757.46,7.21,3.885,0.894
"FLUME",2025-12-19 21:36:00,8.24,13.19,5.88,12.699,68.26,12.54,13817.26,7.2,3.922,0.886
"FLUME",2025-12-19 21:42:00,8.15,13.23,5.93,12.59,67.36,12.46,13737.2,7.2,3.837,0.889
"FLUME",2025-12-19 21:48:00,8.08,13.85,5.99,12.533,66.66,12.41,13690.84,7.19,3.804,0.893
"FLUME",2025-12-19 21:54:00,8.04,13.76,5.32,12.504,66.3,12.39,13672.04,7.18,3.764,0.903
"FLUME",2025-12-19 22:00:00,8.1,13.87,5.41,12.407,66.67,12.31,13593.22,7.17,3.707,0.916
"FLUME",2025-12-19 22:06:00,8.03,13.93,5.07,12.573,66.08,12.5,13792.49,7.15,3.672,0.915
"FLUME",2025-12-19 22:12:00,7.97,14.23,4.95,12.447,65.45,12.39,13675.58,7.16,3.619,0.923
"FLUME",2025-12-19 22:18:00,7.97,14.51,4.98,12.318,65.35,12.26,13550.52,7.15,3.582,0.919
"FLUME",2025-12-19 22:24:00,8.1,14.76,4.56,12.313,66.31,12.28,13569.32,7.15,3.525,0.916
"FLUME",2025-12-19 22:30:00,8.07,14.72,4.13,12.304,66.07,12.27,13555.44,7.15,3.538,0.906
"FLUME",2025-12-19 22:36:00,8.09,15.07,4.49,12.26,66.08,12.24,13535.98,7.14,3.47,0.894
"FLUME",2025-12-19 22:42:00,8.03,14.96,4.53,12.172,65.48,12.17,13461.69,7.14,3.416,0.889
"FLUME",2025-12-19 22:48:00,8.06,15,4.38,12.16,65.72,12.17,13459.67,7.14,3.392,0.874
"FLUME",2025-12-19 22:54:00,8.01,14.94,3.86,12.091,65.18,12.11,13403.01,7.11,3.345,0.871
"FLUME",2025-12-19 23:00:00,7.94,14.96,3.59,12.066,64.56,12.09,13389.36,7.1,3.314,0.871
"FLUME",2025-12-19 23:06:00,8.04,14.76,4.35,12.044,65.29,12.08,13373.67,7.11,3.292,0.869
"FLUME",2025-12-19 23:12:00,7.88,15.15,3.94,11.949,63.88,11.99,13290.23,7.12,3.24,0.868
"FLUME",2025-12-19 23:18:00,8.01,14.93,3.9,11.941,64.95,11.99,13288.25,7.09,3.224,0.863
"FLUME",2025-12-19 23:24:00,7.89,15.31,3.85,11.896,63.91,11.96,13258.58,7.11,3.18,0.858
"FLUME",2025-12-19 23:30:00,7.86,15.41,2.89,11.85,63.52,11.93,13226.31,7.13,3.134,0.866
"FLUME",2025-12-19 23:36:00,7.75,15.18,3.64,11.79,62.56,11.88,13183.2,7.13,3.079,0.863
"FLUME",2025-12-19 23:42:00,7.96,15.83,3.79,11.692,64.07,11.8,13101.54,7.12,3.018,0.857
"FLUME",2025-12-19 23:48:00,7.77,15.45,4.53,11.675,62.48,11.79,13096.56,7.13,2.979,0.853
"FLUME",2025-12-19 23:54:00,7.72,15.53,4.55,11.628,62.07,11.75,13060.96,7.15,2.947,0.844
"FLUME",2025-12-20 00:00:00,7.87,14.66,4.04,11.551,63.12,11.68,12984.24,7.15,2.916,0.836
"FLUME",2025-12-20 00:06:00,7.85,14.99,4.4,11.524,62.96,11.66,12966.78,7.15,2.89,0.823
"FLUME",2025-12-20 00:12:00,7.64,15.22,3.77,11.454,61.17,11.6,12906.97,7.15,2.847,0.817
"FLUME",2025-12-20 00:18:00,7.8,14.07,4.31,11.342,62.39,11.48,12800.21,7.09,2.827,0.806
"FLUME",2025-12-20 00:24:00,7.76,14.62,5.05,11.402,62.02,11.56,12874.45,7.14,2.786,0.792
"FLUME",2025-12-20 00:30:00,7.71,14.32,6.38,11.365,61.55,11.53,12842.5,7.18,2.757,0.791
"FLUME",2025-12-20 00:36:00,7.72,14.75,4.38,11.334,61.58,11.51,12814.92,7.16,2.743,0.813
"FLUME",2025-12-20 00:42:00,7.74,15.87,3.7,11.306,61.75,11.48,12790.31,7.17,2.725,0.839
"FLUME",2025-12-20 00:48:00,7.66,16.05,3.1,11.2,60.93,11.38,12690.18,7.15,2.678,0.845
"FLUME",2025-12-20 00:54:00,7.77,15.87,3.76,11.185,61.83,11.36,12673.02,7.14,2.683,0.849
"FLUME",2025-12-20 01:00:00,7.62,16.45,3.32,11.155,60.62,11.33,12638.95,7.12,2.685,0.86
"FLUME",2025-12-20 01:06:00,7.66,16.89,2.76,11.113,60.83,11.3,12613.87,7.11,2.631,0.866
"FLUME",2025-12-20 01:12:00,7.62,16.96,3.58,11.09,60.46,11.29,12596.8,7.12,2.606,0.879
