"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.5.0","CPU:MGEO_SERCv31INT.CR1X","63885","FLUX_7810"
"TIMESTAMP","RECORD","TimeLong7810","LI7810_time","Seconds","Nanoseconds","NDX","Diag","H2O","CO2","CH4","cavity_p","cavity_t","laser_phase_p","laser_t","residual","ringdown","thermal_enc_t","phase_err","laser_t_shift","vin","cavity_p_sp","board_t","case_t","exfit_tau_rd1","peak_ht_1","exfit_tau_rd2","peak_ht_2","tec_sp","phase_ctrl_out","meas_phase","laser_phase_sp","num_peaks_win","post_ringdwn_1_ign_len","ringdwn_1_loc","peak_x0","xderiv_weight","xderiv2_weight","ch4_spec_weight","co2_spec_weight","h2o_spec_weight","start_freq","cavity_htr_w","laser_ref_pwr","offset_weight","slope_weight","evenodd_weight","evenodd_lin_weight","num_skipped_modes","pump_sp","pump_tach_ph"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-03-30 23:57:00",77541,"2026-03-30 23:01:00",1774933260,1.774933E+09,9.050011E+07,4674145,0,282.2321,221.7078,19885.9,39.8818,55.0003,48.6198,46.5991,0.00164491,13.0772,54.4998,-0.25,0.159228,24.0836,39.9739,48.3345,14.3901,13.0772,0.997401,12.9971,1.0268,46.637,29466,15999.8,16000,5,4859.5,81840,91734.5,3.63382E-05,-0.000235651,10.4419,0.641008,0.0287855,-0.000235651,-0.000235651,-0.000235651,6048.29,0.851703,47407,-0.000235651,0,0,0
"2026-03-30 23:57:15",77542,"2026-03-30 23:01:15",1774933275,1.774933E+09,8.975506E+07,4674205,0,281.6841,222.4292,19888.02,39.8823,55.0003,48.619,46.5991,0.00165454,13.076,54.4998,39.5,0.159228,24.0832,39.9738,48.3311,14.3901,13.076,0.997395,12.9975,1.02685,46.637,29467,16039.5,16000,5,4858.75,81845.5,91732.2,2.53659E-06,-0.000227707,10.443,0.643105,0.0287296,-0.000227707,-0.000227707,-0.000227707,6048.29,0.851703,47407,-0.000227707,0,0,0
"2026-03-30 23:57:30",77543,"2026-03-30 23:01:30",1774933290,1.774933E+09,8.901691E+07,4674265,0,282.5035,222.6413,19889.85,39.8823,55.0003,48.6194,46.5993,0.00166003,13.0764,54.4998,18.75,0.159228,24.0836,39.9738,48.3345,14.3901,13.0764,0.99736,12.9973,1.02681,46.637,29466.5,16018.8,16000,5,4860,81836.2,91742.5,-2.59325E-05,-0.000218282,10.444,0.643714,0.0288131,-0.000218282,-0.000218282,-0.000218282,6048.29,0.851703,47407.5,-0.000218282,0,0,0
"2026-03-30 23:57:45",77544,"2026-03-30 23:01:45",1774933305,1.774933E+09,8.826995E+07,4674325,0,282.16,222.515,19891.68,39.8814,55.0003,48.6182,46.5991,0.00164566,13.0765,54.4998,24.25,0.159228,24.084,39.9738,48.3311,14.3901,13.0765,0.997341,12.9971,1.0268,46.637,29465.8,16024.2,16000,5,4829,81832.8,91734.5,-3.71E-05,-0.000221268,10.4449,0.64335,0.0287781,-0.000221268,-0.000221268,-0.000221268,6048.29,0.851703,47407,-0.000221268,0,0,0
"2026-03-30 23:58:00",77545,"2026-03-30 23:02:00",1774933320,1.774933E+09,8.752799E+07,4674385,0,281.2067,222.7609,19891.98,39.8823,55.0003,48.6215,46.5994,0.0016522,13.0762,54.4998,-59.25,0.159228,24.0836,39.9738,48.3311,14.3901,13.0762,0.997447,12.9968,1.02684,46.637,29467,15940.8,16000,5,4856.75,81846.8,91731,5.19472E-05,-0.000230283,10.4451,0.644072,0.0286809,-0.000230283,-0.000230283,-0.000230283,6048.29,0.851703,47407.2,-0.000230283,0,0,0
"2026-03-30 23:58:15",77546,"2026-03-30 23:02:15",1774933335,1.774933E+09,8.678508E+07,4674445,0,282.8237,222.0135,19894.79,39.8827,55.0003,48.6178,46.5994,0.00165981,13.0767,54.4998,-22.5,0.159228,24.0832,39.9738,48.3292,14.3901,13.0767,0.997355,12.9974,1.02681,46.637,29465,15977.5,16000,5,4835.75,81836.5,91745.5,-3.58298E-05,-0.00022821,10.4465,0.64189,0.0288458,-0.00022821,-0.00022821,-0.00022821,6048.29,0.851703,47407.2,-0.00022821,0,0,0
"2026-03-30 23:58:30",77547,"2026-03-30 23:02:30",1774933350,1.774933E+09,8.604193E+07,4674505,0,282.6976,222.1012,19895.56,39.8814,55.0003,48.6178,46.5994,0.00163753,13.0769,54.4998,57,0.159228,24.084,39.9738,48.3287,14.3901,13.0769,0.997341,12.9971,1.02683,46.637,29466.2,16057,16000,5,4862.25,81829,91723.2,1.90633E-05,-0.000223263,10.4469,0.642145,0.0288329,-0.000223263,-0.000223263,-0.000223263,6048.29,0.851703,47407.5,-0.000223263,0,0,0
"2026-03-30 23:58:45",77548,"2026-03-30 23:02:45",1774933365,1.774933E+09,8.530092E+07,4674565,0,282.0557,222.2001,19898.44,39.8818,55.0003,48.6173,46.5991,0.00166199,13.0772,54.4998,103.75,0.159228,24.084,39.9738,48.3292,14.3901,13.0772,0.997317,12.9968,1.02677,46.637,29465.5,16103.8,16000,5,4846.25,81828.2,91719.2,-3.26619E-05,-0.000216589,10.4485,0.642437,0.0287675,-0.000216589,-0.000216589,-0.000216589,6048.29,0.851703,47409,-0.000216589,0,0,0
