"","Project","Site","Replicate","Sample_Type","Sample_ID","Date","Time_EDT","Time_EST","ic_mgL","ic_uM","ic_flag","Analysis_runtime","Run_notes","Field_notes","DO_mgL","pH","Salinity_ppt","Temp","Radium_Vol_L"
"1","SERC Lateral Flux","Flume","1","GW","Flume_20230815_GW_1","8/15/2023","11:30","10:30",93.88,7816.16851219715,"","8/18/2023 5:35:34 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ","0:00",NA,NA,28.2,1.82
"2","SERC Lateral Flux","Flume","2","GW","Flume_20230815_GW_2","8/15/2023","11:10","10:10",71.06,5916.24344351012,"","8/18/2023 5:55:35 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ","0:00",NA,NA,26.2,3.8
"3","SERC Lateral Flux","Flume","3","GW","Flume_20230815_GW_3","8/15/2023","10:50","9:50",30.17,2511.86412455249,"","8/18/2023 6:09:56 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ","6:27",NA,NA,27.2,3.8
"4","SERC Lateral Flux","Flume","4","GW","Flume_20230815_GW_4","8/15/2023","10:30","9:30",66.76,5558.23828157522,"","8/18/2023 6:30:15 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ","1:52",NA,NA,NA,3.8
"5","SERC Lateral Flux","Flume","5","GW","Flume_20230815_GW_5","8/15/2023","10:11","9:11",61.92,5155.27433186246,"","8/18/2023 6:45:09 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,23.9,0.55
"6","SERC Lateral Flux","Flume","6","GW","Flume_20230815_GW_6","8/15/2023","9:44","8:44",61.06,5083.67329947548,"","8/18/2023 6:59:55 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ","0:00",NA,NA,NA,3.8
"7","SERC Lateral Flux","Flume","0530","SW","Flume_20230816_SW_0530","8/16/2023","5:30","4:30",18.09,1506.11939055865,"","8/18/2023 7:51:29 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"8","SERC Lateral Flux","Flume","0630","SW","Flume_20230816_SW_0630","8/16/2023","6:30","5:30",18.46,1536.92448588794,"","8/18/2023 8:04:41 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"9","SERC Lateral Flux","Flume","0730","SW","Flume_20230816_SW_0730","8/16/2023","7:30","6:30",20.41,1699.27566397469,"","8/18/2023 8:18:04 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"10","SERC Lateral Flux","Flume","0830","SW","Flume_20230816_SW_0830","8/16/2023","8:30","7:30",21.96,1828.32403630006,"","8/18/2023 8:45:00 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"11","SERC Lateral Flux","Flume","0930","SW","Flume_20230816_SW_0930","8/16/2023","9:30","8:30",24.27,2020.64773957206,"","8/18/2023 8:58:34 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"12","SERC Lateral Flux","Flume","1030","SW","Flume_20230816_SW_1030","8/16/2023","10:30","9:30",27.51,2290.40046623928,"","8/18/2023 9:12:10 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"13","SERC Lateral Flux","Flume","1130","SW","Flume_20230816_SW_1130","8/16/2023","11:30","10:30",30.44,2534.34351844143,"","8/18/2023 9:39:24 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
