"","Project","Site","Replicate","Sample_Type","Sample_ID","Date","Time_EDT","Time_EST","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","DO_mgL","pH","Salinity_ppt","Temp","Radium_Vol_L"
"1","SERC Lateral Flux","Flume","0900","SW","Flume_20240208_SW_0900","2/8/2024","9:00","10:00",3.596,299.392223794855,"",0.2855,20.383102372436,"","2/19/2024 12:23:51 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"2","SERC Lateral Flux","Flume","1000","SW","Flume_20240208_SW_1000","2/8/2024","10:00","11:00",3.624,301.723420198152,"",0.2462,17.5773022910464,"","2/19/2024 12:49:31 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"3","SERC Lateral Flux","Flume","1100","SW","Flume_20240208_SW_1100","2/8/2024","11:00","12:00",3.077,256.181833319457,"",0.4761,33.9908757951552,"","2/19/2024 1:14:51 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"4","SERC Lateral Flux","Flume","1200","SW","Flume_20240208_SW_1200","2/8/2024","12:00","13:00",3.406,283.573391058197,"",0.4947,35.318811711538,"","2/19/2024 1:43:31 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"5","SERC Lateral Flux","Flume","1300","SW","Flume_20240208_SW_1300","2/8/2024","13:00","14:00",3.353,279.160769294813,"",0.5275,37.6605481662347,"","2/19/2024 2:11:12 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"6","SERC Lateral Flux","Flume","1400","SW","Flume_20240208_SW_1400","2/8/2024","14:00","15:00",3.227,268.670385479977,"",0.5434,38.7957191915298,"","2/19/2024 2:35:38 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"7","SERC Lateral Flux","Flume","1500","SW","Flume_20240208_SW_1500","2/8/2024","15:00","16:00",3.088,257.097660477895,"",0.637,45.4782354159081,"","2/19/2024 3:00:33 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"8","SERC Lateral Flux","Flume","1600","SW","Flume_20240208_SW_1600","2/8/2024","16:00","17:00",3.241,269.835983681625,"",0.6197,44.2431122248638,"","2/19/2024 3:26:11 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"9","SERC Lateral Flux","Flume","1600","SW","Flume_20240208_SW_1600_isco","2/8/2024","16:00","17:00",3.632,302.389476313379,"",0.5482,39.1384123312415,"","2/19/2024 3:50:43 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,5
"10","SERC Lateral Flux","Flume","1700","SW","Flume_20240208_SW_1700","2/8/2024","17:00","18:00",3.16,263.092165514945,"",0.5741,40.9875273976026,"","2/19/2024 4:16:12 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"11","SERC Lateral Flux","Flume","1700","SW","Flume_20240208_SW_1700_isco","2/8/2024","17:00","18:00",3.398,282.907334942969,"",0.5702,40.7090892215868,"","2/19/2024 5:38:13 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,5
"12","SERC Lateral Flux","Flume","1800","SW","Flume_20240208_SW_1800","2/8/2024","18:00","19:00",3.406,283.573391058197,"",0.5348,38.181727316213,"","2/19/2024 6:05:42 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"13","SERC Lateral Flux","Flume","1800","SW","Flume_20240208_SW_1800_isco","2/8/2024","18:00","19:00",3.458,287.902755807177,"",0.4415,31.5206294130666,"","2/19/2024 6:31:31 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,5
"14","SERC Lateral Flux","Flume","1900","SW","Flume_20240208_SW_1900","2/8/2024","19:00","20:00",3.654,304.221130630256,"",0.5042,35.9970585505508,"","2/19/2024 6:57:51 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"15","SERC Lateral Flux","Flume","1900","SW","Flume_20240208_SW_1900_isco","2/8/2024","19:00","20:00",3.642,303.222046457414,"",0.3861,27.5653794255606,"","2/19/2024 7:22:52 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,5
"16","SERC Lateral Flux","Flume","2000","SW","Flume_20240208_SW_2000","2/8/2024","20:00","21:00",3.769,313.795687286654,"",0.4557,32.5344299513804,"","2/19/2024 7:49:50 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"17","SERC Lateral Flux","Flume","2000","SW","Flume_20240208_SW_2000_isco","2/8/2024","20:00","21:00",3.654,304.221130630256,"",0.296,21.1327436155554,"","2/19/2024 8:13:58 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,5
"18","SERC Lateral Flux","Flume","2100","SW","Flume_20240208_SW_2100","2/8/2024","21:00","22:00",3.73,310.548663724919,"",0.3587,25.6091727530396,"","2/19/2024 8:30:15 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
