[Header]	
System	Smithsonian TCTN	
S/W Version	1.00	
User	sjw	
Date/Time	8/22/2023 9:31:43 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					0.09852	0.01484	mg/L	0	8/20/2023 4:21:00 PM	
Unknown	NPOC/TN	DI	Untitled					0.07482	0.02945	mg/L	0	8/20/2023 4:36:26 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					45.89	0.01735	mg/L	1	8/20/2023 4:54:48 PM	
Unknown	NPOC/TN	DI	Untitled					0.2187	0.01459	mg/L	0	8/20/2023 5:13:59 PM	
Unknown	NPOC/TN	DI	Untitled					0.1444	0.03515	mg/L	0	8/20/2023 5:29:31 PM	
Unknown	NPOC/TN	DI	Untitled					0.08790	0.01772	mg/L	0	8/20/2023 5:42:13 PM	
Standard	NPOC	CalCurve_C	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	8/20/2023 8:11:42 PM	
Unknown	NPOC/TN	DI	Untitled					0.2631	0.02292	mg/L	0	8/20/2023 8:30:33 PM	
Unknown	NPOC/TN	DI	Untitled					0.2421	0.05674	mg/L	0	8/20/2023 8:52:49 PM	
Standard	TN	CalCurve_N	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	8/20/2023 10:55:10 PM	
Unknown	NPOC/TN	DI	Untitled					0.3025	-0.00148	mg/L	0	8/20/2023 11:10:18 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.78	1.977	mg/L	17	8/20/2023 11:37:16 PM	
Unknown	NPOC/TN	DI	Untitled					0.3484	0.01775	mg/L	0	8/20/2023 11:57:52 PM	
Unknown	NPOC/TN	DI	Untitled					0.3305	-0.02056	mg/L	0	8/21/2023 12:17:03 AM	
Unknown	NPOC/TN	Flume_20230807_GW-1	Untitled					75.47	6.759	mg/L	18	8/21/2023 12:35:28 AM	
Unknown	NPOC/TN	Flume_20230807_GW-2	Untitled					38.19	0.8920	mg/L	19	8/21/2023 1:01:14 AM	
Unknown	NPOC/TN	Flume_20230807_GW-3	Untitled					27.07	0.5365	mg/L	20	8/21/2023 1:18:25 AM	
Unknown	NPOC/TN	Flume_20230807_GW-4	Untitled					51.10	1.306	mg/L	21	8/21/2023 1:44:20 AM	
Unknown	NPOC/TN	Flume_20230807_GW-5	Untitled					36.48	0.9222	mg/L	22	8/21/2023 2:11:13 AM	
Unknown	NPOC/TN	Flume_20230807_GW-6	Untitled					27.97	0.5904	mg/L	23	8/21/2023 2:28:10 AM	
Unknown	NPOC/TN	DI	Untitled					0.3779	-0.01170	mg/L	0	8/21/2023 2:50:35 AM	
Unknown	NPOC/TN	Flume_20230808_SW-0530	Untitled					23.36	0.5607	mg/L	24	8/21/2023 3:07:51 AM	
Unknown	NPOC/TN	Flume_20230808_SW-0630	Untitled					23.57	0.5764	mg/L	25	8/21/2023 3:33:13 AM	
Unknown	NPOC/TN	Flume_20230808_SW-0730	Untitled					19.03	0.5160	mg/L	26	8/21/2023 3:58:09 AM	
Unknown	NPOC/TN	Flume_20230808_SW-0830	Untitled					19.31	0.5036	mg/L	27	8/21/2023 4:23:20 AM	
Unknown	NPOC/TN	Flume_20230808_SW-0930	Untitled					23.84	0.5866	mg/L	28	8/21/2023 4:48:35 AM	
Unknown	NPOC/TN	Flume_20230808_SW-1030	Untitled					24.67	0.5468	mg/L	29	8/21/2023 5:14:06 AM	
Unknown	NPOC/TN	Flume_20230808_SW-1130	Untitled					25.41	0.5719	mg/L	30	8/21/2023 5:31:25 AM	
