"","Analysis","Sample.Name","DIC_mgL","Units"
"1","IC","DI",1.555,"mg/L"
"2","IC","DI",1.561,"mg/L"
"3","IC","DI",1.558,"mg/L"
"4","IC","DI_Bubbled",1.448,"mg/L"
"5","IC","CalCurve_IC",200,"mg/L"
"6","IC","DI",1.127,"mg/L"
"7","IC","DI",1.112,"mg/L"
"8","IC","DIC_CRM",23.14,"mg/L"
"9","IC","DI",1.117,"mg/L"
"10","IC","Chk_Std_40mgL",39.09,"mg/L"
"11","IC","DI",1.092,"mg/L"
"12","IC","Flume_GW-6",25.54,"mg/L"
"13","IC","Flume_GW-5",30.03,"mg/L"
"14","IC","Flume_GW-4",62.51,"mg/L"
"15","IC","Flume_GW-3",25.95,"mg/L"
"16","IC","Flume_GW-2",48.1,"mg/L"
"17","IC","Flume_GW-1",71.98,"mg/L"
"18","IC","DI",1.14,"mg/L"
"19","IC","DI_Bubbled",1.166,"mg/L"
"20","IC","Flume_SW-0530",18.03,"mg/L"
"21","IC","Flume_SW-0630",18.3,"mg/L"
"22","IC","Flume_SW-0730",13.14,"mg/L"
"23","IC","Flume_SW-0830",13.33,"mg/L"
"24","IC","Flume_SW-0930",17.65,"mg/L"
"25","IC","Flume_SW-1030",19.14,"mg/L"
"26","IC","Flume_SW-1130",17.83,"mg/L"
"27","IC","Flume_SW-1230",22.43,"mg/L"
"28","IC","Flume_SW-1330",24.18,"mg/L"
"29","IC","Flume_SW-1430",26.03,"mg/L"
"30","IC","Flume_SW-1530",26.77,"mg/L"
"31","IC","Flume_SW-1630",27.02,"mg/L"
"32","IC","Flume_SW-1730",26.62,"mg/L"
"33","IC","DI",1.122,"mg/L"
"34","IC","Chk_Std_40mgL",39.4,"mg/L"
"35","IC","DI",1.125,"mg/L"
"36","IC","OALab_Dock_1644",16.78,"mg/L"
"37","IC","OALab_Dock_1644",16.83,"mg/L"
"38","IC","OALab_Dock_1030",17.43,"mg/L"
"39","IC","OALab_Dock_1030",17.51,"mg/L"
"40","IC","DI",1.109,"mg/L"
"41","IC","DI_Bubbled",1.002,"mg/L"
"42","IC","DIC_CRM",23.17,"mg/L"
"43","IC","DI",1.101,"mg/L"
"44","IC","DI",1.109,"mg/L"
"45","IC","DI",1.108,"mg/L"
"46","IC","DI",1.104,"mg/L"
