,Analysis,Sample.Name,DIC_mgL,Units
1,IC,DI,1.079,mg/L
2,IC,DI,1.08,mg/L
3,IC,DI,1.067,mg/L
4,IC,Chk_Std_40mgL_IC,37.96,mg/L
5,IC,DI,1.077,mg/L
6,IC,DI,1.068,mg/L
7,IC,CalCurve_IC,200,mg/L
8,IC,DI,1.135,mg/L
9,IC,DI,1.11,mg/L
10,IC,DIC_CRM_209-0374,22.92,mg/L
11,IC,DI,1.125,mg/L
12,IC,Flume_20230815_GW-1,93.88,mg/L
13,IC,Flume_20230815_GW-2,71.06,mg/L
14,IC,Flume_20230815_GW-3,30.17,mg/L
15,IC,Flume_20230815_GW-4,66.76,mg/L
16,IC,Flume_20230815_GW-5,61.92,mg/L
17,IC,Flume_20230815_GW-6,61.06,mg/L
18,IC,DI,1.164,mg/L
19,IC,DIC_CRM_209=0374,23.24,mg/L
20,IC,DI_Bubbled,1.035,mg/L
21,IC,Flume_20230816_SW-0530,18.09,mg/L
22,IC,Flume_20230816_SW-0630,18.46,mg/L
23,IC,Flume_20230816_SW-0730,20.41,mg/L
24,IC,Flume_20230816_SW-0730_dup,20.07,mg/L
25,IC,Flume_20230816_SW-0830,21.96,mg/L
26,IC,Flume_20230816_SW-0930,24.27,mg/L
27,IC,Flume_20230816_SW-1030,27.51,mg/L
28,IC,Flume_20230816_SW-1030_dup,27.96,mg/L
29,IC,Flume_20230816_SW-1130,30.44,mg/L
30,IC,DI,1.146,mg/L
31,IC,Flume_20230816_SW-1230,31.12,mg/L
32,IC,Flume_20230816_SW-1330,31.94,mg/L
33,IC,Flume_20230816_SW-1430,27.24,mg/L
34,IC,Flume_20230816_SW-1430_dup,26.82,mg/L
35,IC,Flume_20230816_SW-1530,26.71,mg/L
36,IC,Flume_20230816_SW-1630,25.83,mg/L
37,IC,Flume_20230816_SW-1630_dup,25.74,mg/L
38,IC,Flume_20230816_SW-1730,23.7,mg/L
39,IC,Flume_20230816_SW-1730_dup,23.88,mg/L
40,IC,Flume_20230816_GW-T1-NW5,27.92,mg/L
41,IC,Flume_20230816_GW-T2-NW1,17.43,mg/L
42,IC,DI,1.192,mg/L
43,IC,Chk_Std_40mgL_IC,38.58,mg/L
44,IC,DI,0,mg/L
45,IC,DI,0,mg/L
46,IC,DI,0,mg/L
47,IC,DI,0,mg/L
48,IC,GCW_202308_TR_LysB_10cm,0,mg/L
49,IC,GCW_202308_WC_LysA_10cm,0,mg/L
50,IC,GCW_202308_WC_LysA_20cm,0,mg/L
51,IC,GCW_202308_WC_LysA_45cm,0,mg/L
52,IC,GCW_202308_WC_LysB_10cm,0,mg/L
53,IC,GCW_202308_WC_LysB_20cm,0,mg/L
54,IC,GCW_202308_WC_LysB_45cm,0,mg/L
55,IC,GCW_202308_WC_LysC_10cm,0,mg/L
56,IC,GCW_202308_WC_LysC_20cm,0,mg/L
57,IC,GCW_202308_WC_LysC_45cm,0,mg/L
58,IC,GCW_202308_SW_A,0,mg/L
59,IC,GCW_202308_SW_B,0,mg/L
60,IC,GCW_202308_SW_C,0,mg/L
61,IC,DI,0,mg/L
62,IC,DI,0,mg/L
63,IC,DIC_CRM_201-0374,0,mg/L
64,IC,DI,0,mg/L
65,IC,MSM_202308_UP_LysB_10cm,0,mg/L
66,IC,MSM_202308_UP_LysC_10cm,0,mg/L
67,IC,MSM_202308_UP_LysC_20cm,0,mg/L
68,IC,MSM_202308_TR_LysA_10cm,0,mg/L
69,IC,MSM_202308_TR_LysA_20cm,0,mg/L
70,IC,MSM_202308_TR_LysB_20cm,0,mg/L
71,IC,MSM_202308_TR_LysC_10cm,0,mg/L
72,IC,MSM_202308_TR_LysC_20cm,0,mg/L
73,IC,MSM_202308_TR_LysC_45cm,0,mg/L
74,IC,MSM_202308_WC_LysA_10cm,0,mg/L
75,IC,MSM_202308_WC_LysA_20cm,0,mg/L
76,IC,MSM_202308_WC_LysB_10cm,0,mg/L
77,IC,MSM_202308_WC_LysB_20cm,0,mg/L
78,IC,MSM_202308_WC_LysC_10cm,0,mg/L
79,IC,MSM_202308_SW_A,0,mg/L
80,IC,MSM_202308_SW_B,0,mg/L
81,IC,MSM_202308_SW_C,0,mg/L
82,IC,DI,0,mg/L
83,IC,DIC_CRM_201-0374,0,mg/L
84,IC,DI,0,mg/L
85,IC,DI_Bubbled,0,mg/L
86,IC,DI,0,mg/L
87,IC,DI,0,mg/L
88,IC,DI,0,mg/L
