,Analysis,Sample.Name,Spring_Neap,Date,Time,GW_SW,NPOC_mgL,TN_mgL,Units
15,NPOC/TN,Flume_20230807_GW-1,Neap,20230808,NA,GW,75.47,6.759,mg/L
16,NPOC/TN,Flume_20230807_GW-2,Neap,20230808,NA,GW,38.19,0.892,mg/L
17,NPOC/TN,Flume_20230807_GW-3,Neap,20230808,NA,GW,27.07,0.5365,mg/L
18,NPOC/TN,Flume_20230807_GW-4,Neap,20230808,NA,GW,51.1,1.306,mg/L
19,NPOC/TN,Flume_20230807_GW-5,Neap,20230808,NA,GW,36.48,0.9222,mg/L
20,NPOC/TN,Flume_20230807_GW-6,Neap,20230808,NA,GW,27.97,0.5904,mg/L
22,NPOC/TN,Flume_20230808_SW-0530,Neap,20230808,530,SW,23.36,0.5607,mg/L
23,NPOC/TN,Flume_20230808_SW-0630,Neap,20230808,630,SW,23.57,0.5764,mg/L
24,NPOC/TN,Flume_20230808_SW-0730,Neap,20230808,730,SW,19.03,0.516,mg/L
25,NPOC/TN,Flume_20230808_SW-0830,Neap,20230808,830,SW,19.31,0.5036,mg/L
26,NPOC/TN,Flume_20230808_SW-0930,Neap,20230808,930,SW,23.84,0.5866,mg/L
27,NPOC/TN,Flume_20230808_SW-1030,Neap,20230808,1030,SW,24.67,0.5468,mg/L
28,NPOC/TN,Flume_20230808_SW-1130,Neap,20230808,1130,SW,25.41,0.5719,mg/L
29,NPOC/TN,Flume_20230808_SW-1230,Neap,20230808,1230,SW,27.63,0.6207,mg/L
30,NPOC/TN,Flume_20230808_SW-1230_dup,Neap,20230808,1230,SW,27.33,0.6188,mg/L
31,NPOC/TN,Flume_20230808_SW-1330,Neap,20230808,1330,SW,28.9,0.6798,mg/L
32,NPOC/TN,Flume_20230808_SW-1430,Neap,20230808,1430,SW,31.03,0.7958,mg/L
33,NPOC/TN,Flume_20230808_SW-1530,Neap,20230808,1530,SW,31.34,0.8621,mg/L
34,NPOC/TN,Flume_20230808_SW-1530_dup,Neap,20230808,1530,SW,31.21,0.8728,mg/L
35,NPOC/TN,Flume_20230808_SW-1630,Neap,20230808,1630,SW,31.27,0.8793,mg/L
36,NPOC/TN,Flume_20230808_SW-1730,Neap,20230808,1730,SW,31.26,0.8758,mg/L
40,NPOC/TN,Flume_20230815_GW-1,Spring,20230816,NA,GW,95.66,7.927,mg/L
41,NPOC/TN,Flume_20230815_GW-2,Spring,20230816,NA,GW,50.75,1.469,mg/L
42,NPOC/TN,Flume_20230815_GW-3,Spring,20230816,NA,GW,27.55,0.6269,mg/L
43,NPOC/TN,Flume_20230815_GW-4,Spring,20230816,NA,GW,53.2,1.308,mg/L
44,NPOC/TN,Flume_20230815_GW-5,Spring,20230816,NA,GW,73.39,3.08,mg/L
45,NPOC/TN,Flume_20230815_GW-6,Spring,20230816,NA,GW,49.62,1.043,mg/L
47,NPOC/TN,Flume_20230816_SW-0530,Spring,20230816,530,SW,22.63,0.4809,mg/L
48,NPOC/TN,Flume_20230816_SW-0630,Spring,20230816,630,SW,22.83,0.4976,mg/L
49,NPOC/TN,Flume_20230816_SW-0630_dup,Spring,20230816,630,SW,22.6,0.5286,mg/L
50,NPOC/TN,Flume_20230816_SW-0730,Spring,20230816,730,SW,24.57,0.584,mg/L
51,NPOC/TN,Flume_20230816_SW-0830,Spring,20230816,830,SW,27.13,0.6335,mg/L
52,NPOC/TN,Flume_20230816_SW-0930,Spring,20230816,930,SW,29.7,0.6723,mg/L
53,NPOC/TN,Flume_20230816_SW-1030,Spring,20230816,1030,SW,32.44,0.7255,mg/L
54,NPOC/TN,Flume_20230816_SW-1130,Spring,20230816,1130,SW,34.81,0.7991,mg/L
55,NPOC/TN,Flume_20230816_SW-1230,Spring,20230816,1230,SW,35.86,0.8427,mg/L
56,NPOC/TN,Flume_20230816_SW-1330,Spring,20230816,1330,SW,35.49,0.7829,mg/L
59,NPOC/TN,Flume_20230816_SW_1430,Spring,20230816,1430,SW,33.29,0.7155,mg/L
60,NPOC/TN,Flume_20230816_SW_1430_dup,Spring,20230816,1430,SW,32.32,0.7404,mg/L
61,NPOC/TN,Flume_20230816_SW_1530,Spring,20230816,1530,SW,32.73,0.7281,mg/L
62,NPOC/TN,Flume_20230816_SW-1630,Spring,20230816,1630,SW,31.86,0.6897,mg/L
63,NPOC/TN,Flume_20230816_SW-1730,Spring,20230816,1730,SW,29.01,0.6464,mg/L
64,NPOC/TN,Flume_20230816_GW-T1-NW5,Spring,20230816,NA,GW,5.562,0.2516,mg/L
65,NPOC/TN,Flume_20230816_GW-T2-NW1,Spring,20230816,NA,GW,1.19,0.09205,mg/L
