"","datetime_15min","depth_m","temp_c","salinity_ppt","odo_mg_l","chlorophyll_ug_l","p_h","amb_t_c","ch4d_ppm","co2d_ppm","h2o_ppm","radon_concentration_rad7","radon_concentration_uncertainty_rad7","rh_sample_rad7","total_counts_rad7","water_depth","flowrate","cross_area","mean_velocity","total_volume","temp_k","ln_pH2O","pH2O","pCH4_uatm","pCH4_atm","CH4_M","CH4_nM","CH4_gL","CH4_mgL","CH4_ugL","C_CH4_nM","Kh","Beta1","Beta2","Beta","Kw","Rad_w_Bqm3","Rad_err_w_Bqm3"
"1",2024-01-24 01:00:00,0.948,4.627,5.45,5.53,18.64,5.8,NA,NA,NA,NA,NA,NA,NA,NA,0.260333333333333,0.0102,0.574,0.0176666666666667,2906.32733333333,277.777,-4.78196314791639,0.00837953296742867,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.873548207053091,-0.0365762888922349,0.402474114519129,0.409291788792898,NA,NA
"2",2024-01-24 02:00:00,0.957,4.2737,7.89,3.335,19.124,5.687,NA,NA,NA,NA,977.5138,230.3601,30,176,0.3284,0.00098,0.7007,0.0012,2912.28125,277.4237,-4.80671569293963,0.00817466417448972,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.858152049606709,-0.0534366429909621,0.401885244483967,0.408173133809799,398.994871088325,94.0268039217387
"3",2024-01-24 03:00:00,0.9672,4.234,8.371,2.45,17.716,5.64,NA,NA,NA,NA,977.5138,230.3601,30,176,0.3944,-0.00185,0.8225,-0.0025,2913.24775,277.384,-4.80950154604414,0.00815192245341431,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.856416378461425,-0.0567524780354755,0.401250701402069,0.407470344344541,398.307884687541,93.8649092702429
"4",2024-01-24 04:00:00,0.9261,4.4458,6.933,2.769,19.406,5.629,NA,NA,NA,NA,977.5138,230.3601,30,176,0.51375,-0.00388,1.0434,-0.0038,2905.34965,277.5958,-4.79464934627663,0.00827390000818773,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.865663068362991,-0.0467470190178611,0.401555273577453,0.408091002793161,398.914586886153,94.0078842125328
"5",2024-01-24 05:00:00,0.8893,4.1722,8.022,1.844,17.89,5.587,NA,NA,NA,NA,977.5138,230.3601,30,176,0.5577,-0.012885,1.1249,-0.0115,2875.57405,277.3222,-4.8138399990257,0.00811663232913581,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.853712239028493,-0.0544732823393466,0.403255258659859,0.409414737298631,400.208555632787,94.3128198255864
"6",2024-01-24 06:00:00,0.82,4.2109,8.43,1.893,18.689,5.582,NA,NA,NA,NA,977.5138,230.3601,30,176,0.49675,-0.01011,1.01205,-0.01,2828.37715,277.3609,-4.81112294635652,0.0081387156336043,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.855405930563926,-0.0571865926167642,0.401482022201978,0.407671297864766,398.504319526719,93.9112009432572
"7",2024-01-24 07:00:00,0.7786,4.2595,8.12,2.058,18.748,5.587,NA,NA,NA,NA,977.5138,230.3601,30,176,0.45445,-0.00838,0.9337,-0.009,2798.3388,277.4095,-4.80771204117246,0.00816652341855805,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85753136081609,-0.0550145376330412,0.40150074162988,0.407761742577976,398.592730482019,93.9320357964369
"8",2024-01-24 08:00:00,0.7429,4.3499,7.042,1.502,18.829,5.581,NA,NA,NA,NA,977.5138,230.3601,30,176,0.42005,-0.00829,0.87005,-0.00965,2767.4881,277.4999,-4.80137105051861,0.00821847179470727,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.861480304566204,-0.0475996416330901,0.402894738396272,0.409310816824058,400.106971934789,94.2888806946718
"9",2024-01-24 09:00:00,0.7376,4.3878,5.551,1.609,19.611,5.585,NA,NA,NA,NA,977.5138,230.3601,30,176,0.4133,-0.006155,0.85775,-0.0072,2739.69615,277.5378,-4.79871398624169,0.00824033783917326,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.863134138266982,-0.0374846970889251,0.406318137893845,0.412845111078727,403.561793341989,95.1030410726067
"10",2024-01-24 10:00:00,0.7416,4.3413,5.647,1.231,21.546,5.591,NA,NA,NA,NA,977.5138,230.3601,30,176,0.2888,-0.00454,0.62725,-0.00615,2724.03435,277.4913,-4.8019740863793,0.0082135172555794,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.861104884263742,-0.0381787647720879,0.40686101065065,0.413327441935796,404.033278410939,95.2141508570742
"11",2024-01-24 11:00:00,0.7964,4.4787,8.317,0.426,19.515,5.66,NA,NA,NA,NA,977.5138,230.3601,30,176,0.3673,-0.00314,0.77225,-0.00495,2710.0452,277.6287,-4.79234456327911,0.00829299154452288,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.867096505943238,-0.0560313093940164,0.397274494486231,0.40378839995376,394.70873323472,93.0167361921882
"12",2024-01-24 12:00:00,0.8666,4.6432,8.425,0.369,21.153,5.693,15.7243620356349,1434.7104582381,6095.77721873016,6218.9473352381,977.5138,230.3601,30,176,0.55765,0.00171,1.12465,0.00135,2701.8208,277.7932,-4.78082985782972,0.00838903479211703,1422.67462228732,0.00142267462228732,2.08399069371136e-06,2083.99069371136,3.34272107271302e-05,0.0334272107271302,33.4272107271302,2967.4334268448,0.00208581314402999,-0.874252020964693,-0.0565186382470445,0.394249761055891,0.400951501822996,391.935626162704,92.3632280550956
"13",2024-01-24 13:00:00,0.9592,4.7003,8.403,0.363,29.006,5.677,16.820439921875,3023.2837421875,7730.238859375,6095.8903984375,977.5138,230.3601,30,176,0.66375,0.01161,1.32115,0.0086,2729.78115,277.8503,-4.77683654530981,0.00842260180661408,2997.81982707864,0.00299781982707864,4.39132639549788e-06,4391.32639549788,7.0436875383786e-05,0.070436875383786,70.436875383786,6243.71649767542,0.00208275241936734,-0.876731245822388,-0.0562881590617426,0.393364189697439,0.400133106779024,391.135633713369,92.1747024909266
"14",2024-01-24 14:00:00,1.0306,4.7185,8.419,0.36,27.645,5.662,17.2485305343511,4255.802,8246.73520610687,6623.21914503817,977.5138,230.3601,30,176,0.7415,0.02014,1.4647,0.0138,2786.8889,277.8685,-4.77556410861615,0.00843332585548635,4219.91143495757,0.00421991143495757,6.18149506638325e-06,6181.49506638325,9.91511808647873e-05,0.0991511808647873,99.1511808647873,8783.51203924954,0.00208144464039868,-0.87752098000761,-0.0563688957976224,0.393021926595555,0.399811141168651,390.820907886104,92.1005344607245
"15",2024-01-24 15:00:00,1.0882,4.708,8.422,0.362,24.279,5.647,17.7878844375,5202.65073125,8583.38935,6523.73409375,977.5138,230.3601,30,176,0.8051,0.021435,1.5822,0.01365,2866.6039,277.858,-4.77629818382642,0.00842713743176262,5158.8072785283,0.0051588072785283,7.55682725387939e-06,7556.82725387939,0.000121211509152225,0.121211509152225,121.211509152225,10740.7470801834,0.00208202138600678,-0.877065393125399,-0.0564042398604616,0.393187125947552,0.399964079961687,390.970407666853,92.1357654563823
"16",2024-01-24 16:00:00,1.1014,4.7261,8.411,0.36,23.134,5.638,18.3057236666667,5601.84676111111,8771.89413333333,6668.05072222222,977.5138,230.3601,30,176,0.8194,0.00129,1.6093,9e-04,2895.46025,277.8761,-4.77503281691634,0.00843780760192011,5554.57945592542,0.00555457945592542,8.13657017021779e-06,8136.57017021778,0.000130510585530293,0.130510585530293,130.510585530293,11559.7016570063,0.00208111194532915,-0.877850688806475,-0.0563043061355938,0.392917742772791,0.399716089996362,390.727994053486,92.0786384631709
