"","Sample Number","Project","Time-Well","Date","ID","ID1","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"1","1","FTS","GW1","1245","20240208","1","1_FTS_GW1_1245_20240208",335.9606,5.2283,3611.37,68.9152,10.4791203992514,101.87221438646,6.52577159
"2","10","FTS","1100","20240208","10","FTS","10_FTS_1100_20240208",165.0078,2.5679,1197.791,22.8573,5.14684341859014,33.7881805359661,2.164434337
"3","11","FTS","1200","20240208","11","FTS","11_FTS_1200_20240208",314.2336,4.8902,2419.9053,46.1787,9.80142233312539,68.262490832158,4.3727948771
"4","12","FTS","1300","20240208","12","FTS","12_FTS_1300_20240208",346.1742,5.3873,2623.7765,50.0691,10.797698066126,74.0134414668547,4.7411901355
"5","13","FTS","1400","20240208","13","FTS","13_FTS_1400_20240208",369.21,5.7458,2749.9344,52.4766,11.516219588272,77.572197461213,4.9691574608
"6","14","FTS","1500","20240208","14","FTS","14_FTS_1500_20240208",359.148,5.5892,2728.8346,52.0739,11.202370555209,76.9769985895628,4.9310301222
"7","15","FTS","1600","20240208","15","FTS","15_FTS_1600_20240208",356.31,5.545,2720.3637,51.9123,11.113849033063,76.7380451339915,4.9157232059
"8","16","FTS","ISCO","1600","20240208","16","16_FTS_ISCO_1600_20240208",354.4345,5.5158,2686.1218,51.2589,11.0553493449782,75.7721241184767,4.8538480926
"9","17","FTS","1700","20240208","17","FTS","17_FTS_1700_20240208",353.8722,5.5071,2704.1108,51.6021,11.0378103555833,76.2795712270804,4.8863542156
"10","18","FTS","ISCO","1700","20240208","18","18_FTS_ISCO_1700_20240208",354.9488,5.5238,2647.5193,50.5222,11.0713911416095,74.6831960507757,4.7840933751
"11","19","FTS","1800","20240208","19","FTS","19_FTS_1800_20240208",346.5941,5.3938,2639.7101,50.3732,10.8107953836556,74.4629083215797,4.7699821507
"12","2","FTS","GW2","1345","20240208","2","2_FTS_GW2_1345_20240208",527.3077,8.2061,4992.2626,95.2666,16.4475265127885,140.825461212976,9.0210445182
"13","20","FTS","ISCO","1800","20240208","20","20_FTS_ISCO_1800_20240208",355.1798,5.5274,2702.9289,51.5796,11.0785963817842,76.2462313117066,4.8842185223
"14","21","FTS","1900","20240208","21","FTS","21_FTS_1900_20240208",332.5324,5.175,2565.2869,48.953,10.3721896444167,72.3635232722144,4.6354994283
"15","22","FTS","ISCO","1900","20240208","22","22_FTS_ISCO_1900_20240208",345.2216,5.3724,2619.2002,49.9818,10.7679850280724,73.8843497884344,4.7329207614
"16","23","FTS","2000","20240208","23","FTS","23_FTS_2000_20240208",335.9362,5.2279,2563.982,48.9281,10.4783593262633,72.3267136812412,4.633141474
"17","24","FTS","ISCO","2000","20240208","24","24_FTS_ISCO_2000_20240208",329.3079,5.1248,2488.337,47.4846,10.2716126013724,70.1928631875881,4.496450959
"18","25","FTS","2100","20240208","25","FTS","25_FTS_2100_20240208",323.155,5.029,2445.4278,46.6657,10.0796943231441,68.9824485190409,4.4189140346
"19","26","FTS","ISCO","2100","20240208","26","26_FTS_ISCO_2100_20240208",312.3196,4.8604,2384.4343,45.5018,9.7417217716781,67.261898448519,4.3086987801
"20","27","FTS","ISCO","2200","20240208","27","27_FTS_ISCO_2200_20240208",327.1936,5.0919,2477.0137,47.2685,10.2056643792888,69.8734471086037,4.4759897559
"21","28","FTS","ISCO","2300","20240208","28","28_FTS_ISCO_2300_20240208",321.5626,5.0043,2457.7789,46.9014,10.0300249532127,69.3308575458392,4.4412324723
"22","29","FTS","ISCO","2400","20240208","29","29_FTS_ISCO_2400_20240208",364.0463,5.6654,2679.6289,51.135,11.3551559575795,75.5889675599436,4.8421154223
"23","3","FTS","GW3","1445","20240208","3","3_FTS_GW3_1445_20240208",397.7196,6.1894,2986.0047,56.9815,12.4054772301934,84.2314442877292,5.3957364929
"24","30","FTS","ISCO","0000","20240209","30","30_FTS_ISCO_0000_20240209",375.7586,5.8477,2761.9259,52.7054,11.720480349345,77.9104626234133,4.9908261013
"25","31","FTS","ISCO","0100","20240209","31","31_FTS_ISCO_0100_20240209",372.307,5.794,2752.0335,52.5167,11.6128197130381,77.6314104372355,4.9729505345
"26","32","FTS","ISCO","0200","20240209","32","32_FTS_ISCO_0200_20240209",378.2833,5.887,2829.6293,53.9974,11.7992295695571,79.8202905500705,5.1131661451
"27","33","FTS","ISCO","0300","20240209","33","33_FTS_ISCO_0300_20240209",358.5714,5.5802,2705.1993,51.6229,11.1843855271366,76.3102764456982,4.8883211351
"28","34","FTS","ISCO","0400","20240209","34","34_FTS_ISCO_0400_20240209",363.8499,5.6623,2779.2106,53.0353,11.3490299438553,78.3980423131171,5.0220595542
"29","35","FTS","ISCO","0500","20240209","35","35_FTS_ISCO_0500_20240209",352.5708,5.4868,2637.7845,50.3365,10.997217716781,74.4085895627645,4.7665025915
"30","36","FTS","ISCO","0600","20240209","36","36_FTS_ISCO_0600_20240209",337.6767,5.255,2572.9636,49.0995,10.5326481597006,72.5800733427362,4.6493712252
"31","37","FTS","ISCO","0700","20240209","37","37_FTS_ISCO_0700_20240209",337.2135,5.2478,2574.6752,49.1321,10.5182002495321,72.6283554301834,4.6524640864
"32","38","FTS","ISCO","1000","20240209","38","38_FTS_ISCO_1000_20240209",320.898,4.9939,2467.5171,47.0873,10.0092950717405,69.6055599435825,4.4588293997
"33","39","FTS","ISCO","1100","20240209","39","39_FTS_ISCO_1100_20240209",343.3952,5.344,2578.7538,49.21,10.7110168434186,72.7434076163611,4.6598341166
"34","4","FTS","GW4","1545","20240208","4","4_FTS_GW4_1545_20240208",584.7187,9.0996,4530.4808,86.4545,18.2382626325639,127.799176304654,8.1866048056
"35","40","FTS","ISCO","1200","20240209","40","40_FTS_ISCO_1200_20240209",368.8938,5.7408,2654.7209,50.6596,11.506356830942,74.8863441466855,4.7971066663
"36","41","FTS","ISCO","1300","20240209","41","41_FTS_ISCO_1300_20240209",373.411,5.8111,2798.7215,53.4076,11.6472551466001,78.9484203102962,5.0573157505
"37","42","FTS","GW1","20240215","42","FTS","42_FTS_GW1_20240215",364.0741,5.6658,3703.002,70.6638,11.3560230817218,104.457038081805,6.691350614
"38","43","FTS","GW2","20240215","43","FTS","43_FTS_GW2_20240215",586.9491,9.1343,5971.0805,113.9453,18.3078321896444,168.436685472496,10.7897684635
"39","44","FTS","GW4","1045","20240215","44","44_FTS_GW4_1045_20240215",569.2508,8.8588,4514.7797,86.1549,17.7557953836556,127.356267983075,8.1582329179
"40","45","FTS","GW6","1145","20240215","45","45_FTS_GW6_1145_20240215",473.5191,7.369,3531.7162,67.3952,14.7697785402371,99.6252806770099,6.3818371734
"41","46","FTS","TMP","FW1","20240216","46","46_FTS_TMP_FW1_20240216",26.3858,0.8212,0.0599,0.0023,0.823013100436681,0.00168970380818054,0.0001342393
