Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Relative Humidity [%],Radon [Bq/m3],Radon 2-Sigma Uncert. [Bq/m3],Run #,Calculated Radon [Bq/m3],Calculated Radon 2-Sigma Uncert. [Bq/m3],Calculated Thoron [Bq/m3],Calculated Thoron 2-Sigma Uncert. [Bq/m3],Radon In Water [Bq/m3],Radon In Water 2-Sigma Uncert. [Bq/m3]
1,7/28/2023 13:50,23,7,28,13,50,0,4.7,16,0,636.0257,1,N/A,N/A,N/A,N/A,0,640
2,7/28/2023 13:55,23,7,28,13,55,1,4.6,19,160.7162,776.0063,1,N/A,N/A,N/A,N/A,160,780
3,7/28/2023 14:00,23,7,28,14,0,0,4.6,21,0,642.8647,1,N/A,N/A,N/A,N/A,0,650
4,7/28/2023 14:05,23,7,28,14,5,0,4.6,23,0,642.8647,1,N/A,N/A,N/A,N/A,0,650
5,7/28/2023 14:22,23,7,28,14,22,3,4.7,25,159.0064,767.7509,2,N/A,N/A,N/A,N/A,160,770
6,7/28/2023 14:27,23,7,28,14,27,3,4.6,26,321.4323,878.1696,2,N/A,N/A,N/A,N/A,330,890
7,7/28/2023 14:32,23,7,28,14,32,1,4.6,27,0,642.8647,2,N/A,N/A,N/A,N/A,0,650
8,7/28/2023 14:37,23,7,28,14,37,6,4.6,27,321.4323,878.1696,2,N/A,N/A,N/A,N/A,320,890
9,7/28/2023 15:21,23,7,28,15,21,13,4.7,38,1113.045,1217.489,3,N/A,N/A,N/A,N/A,1100,1200
10,7/28/2023 15:26,23,7,28,15,26,7,4.6,37,482.1485,964.2969,3,N/A,N/A,N/A,N/A,490,970
11,7/28/2023 15:31,23,7,28,15,31,10,4.6,37,642.8647,1040.177,3,N/A,N/A,N/A,N/A,600,1100
12,7/28/2023 15:36,23,7,28,15,36,11,4.6,37,964.2969,1171.862,3,N/A,N/A,N/A,N/A,1000,1200
13,7/28/2023 15:54,23,7,28,15,54,15,4.7,44,477.0194,954.0387,4,N/A,N/A,N/A,N/A,480,950
14,7/28/2023 15:59,23,7,28,15,59,14,4.6,42,482.1485,964.2969,4,N/A,N/A,N/A,N/A,490,970
15,7/28/2023 16:04,23,7,28,16,4,9,4.6,42,321.4323,878.1696,4,N/A,N/A,N/A,N/A,320,890
16,7/28/2023 16:09,23,7,28,16,9,9,4.6,42,803.581,1108.778,4,N/A,N/A,N/A,N/A,800,1100
17,8/6/2023 10:17,23,8,6,10,17,0,4.7,35,0,636.0257,5,N/A,N/A,N/A,N/A,0,640
18,8/6/2023 10:22,23,8,6,10,22,0,4.6,37,0,642.8647,5,N/A,N/A,N/A,N/A,0,650
19,8/6/2023 10:27,23,8,6,10,27,1,4.6,38,160.7162,776.0063,5,N/A,N/A,N/A,N/A,160,780
20,8/6/2023 10:32,23,8,6,10,32,0,4.6,39,0,642.8647,5,N/A,N/A,N/A,N/A,0,650
21,8/6/2023 10:51,23,8,6,10,51,3,4.7,30,0,636.0257,6,N/A,N/A,N/A,N/A,0,640
22,8/6/2023 10:56,23,8,6,10,56,3,4.6,32,160.7162,776.0063,6,N/A,N/A,N/A,N/A,160,780
23,8/6/2023 11:01,23,8,6,11,1,6,4.6,34,482.1485,964.2969,6,N/A,N/A,N/A,N/A,490,970
24,8/6/2023 11:06,23,8,6,11,6,4,4.6,35,160.7162,776.0063,6,N/A,N/A,N/A,N/A,160,780
25,8/6/2023 11:29,23,8,6,11,29,5,4.7,29,159.0064,767.7509,7,N/A,N/A,N/A,N/A,160,770
26,8/6/2023 11:34,23,8,6,11,34,10,4.6,30,642.8647,1040.177,7,N/A,N/A,N/A,N/A,600,1100
27,8/6/2023 11:39,23,8,6,11,39,6,4.6,32,160.7162,776.0063,7,N/A,N/A,N/A,N/A,160,780
28,8/6/2023 11:44,23,8,6,11,44,7,4.6,33,482.1485,964.2969,7,N/A,N/A,N/A,N/A,490,970
29,8/6/2023 12:06,23,8,6,12,6,8,4.7,29,159.0064,767.7509,8,N/A,N/A,N/A,N/A,160,770
30,8/6/2023 12:11,23,8,6,12,11,8,4.6,30,160.7162,776.0063,8,N/A,N/A,N/A,N/A,160,780
31,8/6/2023 12:16,23,8,6,12,16,7,4.6,31,482.1485,964.2969,8,N/A,N/A,N/A,N/A,490,970
32,8/6/2023 12:21,23,8,6,12,21,6,4.6,32,482.1485,964.2969,8,N/A,N/A,N/A,N/A,490,970
33,8/6/2023 12:44,23,8,6,12,44,12,4.7,30,477.0194,954.0387,9,N/A,N/A,N/A,N/A,480,950
34,8/6/2023 12:49,23,8,6,12,49,8,4.6,30,321.4323,878.1696,9,N/A,N/A,N/A,N/A,230,890
35,8/6/2023 12:54,23,8,6,12,54,10,4.6,31,160.7162,776.0063,9,N/A,N/A,N/A,N/A,160,780
36,8/6/2023 12:59,23,8,6,12,59,15,4.6,32,160.7162,776.0063,9,N/A,N/A,N/A,N/A,160,780
37,8/6/2023 13:18,23,8,6,13,18,15,4.7,35,318.0129,868.8273,10,N/A,N/A,N/A,N/A,320,870
38,8/6/2023 13:23,23,8,6,13,23,9,4.6,35,0,642.8647,10,N/A,N/A,N/A,N/A,0,650
39,8/6/2023 13:28,23,8,6,13,28,8,4.6,36,0,642.8647,10,N/A,N/A,N/A,N/A,0,650
40,8/6/2023 13:33,23,8,6,13,33,7,4.6,36,0,642.8647,10,N/A,N/A,N/A,N/A,0,650
41,8/6/2023 14:01,23,8,6,14,1,12,4.7,30,477.0194,954.0387,11,N/A,N/A,N/A,N/A,480,950
42,8/6/2023 14:06,23,8,6,14,6,8,4.6,31,321.4323,878.1696,11,N/A,N/A,N/A,N/A,320,890
43,8/6/2023 14:12,23,8,6,14,12,10,4.6,32,160.7162,776.0063,11,N/A,N/A,N/A,N/A,160,780
44,8/6/2023 14:17,23,8,6,14,17,6,4.6,33,0,642.8647,11,N/A,N/A,N/A,N/A,0,650
45,8/6/2023 14:34,23,8,6,14,34,14,4.7,26,318.0129,868.8273,12,N/A,N/A,N/A,N/A,320,870
46,8/6/2023 14:39,23,8,6,14,39,12,4.6,27,160.7162,776.0063,12,N/A,N/A,N/A,N/A,160,780
47,8/6/2023 14:44,23,8,6,14,44,15,4.6,28,321.4323,878.1696,12,N/A,N/A,N/A,N/A,320,890
48,8/6/2023 14:49,23,8,6,14,49,17,4.6,29,160.7162,776.0063,12,N/A,N/A,N/A,N/A,160,780
49,8/6/2023 15:06,23,8,6,15,6,16,4.7,24,795.0323,1096.982,13,N/A,N/A,N/A,N/A,800,1100
50,8/6/2023 15:11,23,8,6,15,11,16,4.6,25,642.8647,1040.177,13,N/A,N/A,N/A,N/A,600,1100
51,8/6/2023 15:16,23,8,6,15,16,24,4.6,26,1767.878,1434.907,13,N/A,N/A,N/A,N/A,1800,1500
52,8/6/2023 15:21,23,8,6,15,21,20,4.6,27,642.8647,1040.177,13,N/A,N/A,N/A,N/A,600,1100
53,8/7/2023 10:26,23,8,7,10,26,2,4.7,23,318.0129,868.8273,14,N/A,N/A,N/A,N/A,320,870
54,8/7/2023 10:31,23,8,7,10,31,4,4.6,25,482.1485,964.2969,14,N/A,N/A,N/A,N/A,490,970
55,8/7/2023 10:36,23,8,7,10,36,2,4.6,26,160.7162,776.0063,14,N/A,N/A,N/A,N/A,160,780
56,8/7/2023 10:41,23,8,7,10,41,7,4.6,27,803.581,1108.778,14,N/A,N/A,N/A,N/A,800,1100
57,8/7/2023 11:01,23,8,7,11,1,6,4.7,21,795.0323,1096.982,15,N/A,N/A,N/A,N/A,800,1100
58,8/7/2023 11:06,23,8,7,11,6,1,4.6,23,160.7162,776.0063,15,N/A,N/A,N/A,N/A,160,780
59,8/7/2023 11:11,23,8,7,11,11,5,4.6,25,321.4323,878.1696,15,N/A,N/A,N/A,N/A,320,890
60,8/7/2023 11:16,23,8,7,11,16,4,4.6,26,160.7162,776.0063,15,N/A,N/A,N/A,N/A,160,780
61,8/7/2023 11:35,23,8,7,11,35,5,4.7,19,159.0064,767.7509,16,N/A,N/A,N/A,N/A,160,770
62,8/7/2023 11:40,23,8,7,11,40,7,4.6,21,482.1485,964.2969,16,N/A,N/A,N/A,N/A,490,970
63,8/7/2023 11:45,23,8,7,11,45,2,4.6,22,0,642.8647,16,N/A,N/A,N/A,N/A,0,650
64,8/7/2023 11:50,23,8,7,11,50,1,4.6,23,0,642.8647,16,N/A,N/A,N/A,N/A,0,650
65,8/7/2023 12:09,23,8,7,12,9,2,4.7,17,159.0064,767.7509,17,N/A,N/A,N/A,N/A,160,770
66,8/7/2023 12:14,23,8,7,12,14,2,4.6,19,160.7162,776.0063,17,N/A,N/A,N/A,N/A,160,780
67,8/7/2023 12:19,23,8,7,12,19,4,4.6,21,160.7162,776.0063,17,N/A,N/A,N/A,N/A,160,780
68,8/7/2023 12:24,23,8,7,12,24,2,4.6,22,0,642.8647,17,N/A,N/A,N/A,N/A,0,650
69,8/7/2023 12:44,23,8,7,12,44,3,4.7,15,0,636.0257,18,N/A,N/A,N/A,N/A,0,640
70,8/7/2023 12:49,23,8,7,12,49,1,4.6,17,0,642.8647,18,N/A,N/A,N/A,N/A,0,650
71,8/7/2023 12:54,23,8,7,12,54,1,4.6,19,160.7162,776.0063,18,N/A,N/A,N/A,N/A,160,780
72,8/7/2023 12:59,23,8,7,12,59,1,4.6,20,0,642.8647,18,N/A,N/A,N/A,N/A,0,650
