[Header]	
System	Smithsonian TCTN	
S/W Version	1.00	
User	sjw	
Date/Time	5/15/2024 1:56:27 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					0.2433	-0.8999	mg/L	0	2/18/2024 2:56:04 PM	
Unknown	NPOC/TN	DI	Untitled					0.2383	-0.8665	mg/L	0	2/18/2024 3:17:46 PM	
Unknown	NPOC/TN	DI	Untitled					0.2688	-0.9022	mg/L	0	2/18/2024 4:41:23 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					50.07	15.04	mg/L	1	2/18/2024 5:10:18 PM	
Unknown	NPOC/TN	DI	Untitled					0.3351	-0.8524	mg/L	0	2/18/2024 5:29:11 PM	
Unknown	NPOC/TN	DI	Untitled					0.3135	-0.8692	mg/L	0	2/18/2024 5:45:08 PM	
Standard	NPOC	CalCurve_C	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	2/18/2024 8:07:56 PM	
Unknown	NPOC/TN	DI	Untitled					0.4281	-0.7168	mg/L	0	2/18/2024 8:30:07 PM	
Standard	TN	CalCurve_N	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	2/18/2024 10:49:10 PM	
Unknown	NPOC/TN	DI	Untitled					0.3836	0.03517	mg/L	0	2/18/2024 11:11:40 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					47.64	2.140	mg/L	17	2/18/2024 11:38:11 PM	
Unknown	NPOC/TN	DI	Untitled					0.5747	0.02702	mg/L	0	2/18/2024 11:56:54 PM	
Unknown	NPOC/TN	Flume_20240208_SW-0900	Untitled					3.596	0.2855	mg/L	18	2/19/2024 12:23:51 AM	
Unknown	NPOC/TN	Flume_20240208_SW-1000	Untitled					3.624	0.2462	mg/L	19	2/19/2024 12:49:31 AM	
Unknown	NPOC/TN	Flume_20240208_SW-1100	Untitled					3.077	0.4761	mg/L	20	2/19/2024 1:14:51 AM	
Unknown	NPOC/TN	Flume_20240209_SW1200	Untitled					3.406	0.4947	mg/L	21	2/19/2024 1:43:31 AM	
Unknown	NPOC/TN	Flume_20240208_SW-1300	Untitled					3.353	0.5275	mg/L	22	2/19/2024 2:11:12 AM	
Unknown	NPOC/TN	Flume_20240208_SW-1400	Untitled					3.227	0.5434	mg/L	23	2/19/2024 2:35:38 AM	
Unknown	NPOC/TN	Flume_20240208_SW-1500	Untitled					3.088	0.6370	mg/L	24	2/19/2024 3:00:33 AM	
