"TOA5","GCREW_MET","CR1000","85321","CR1000.Std.31.03","CPU:GCREW_METv5.CR1","24578","GCREW_MET_15min"
"TIMESTAMP","RECORD","Statname","Rain_in_Tot","Rain_cm_Tot","AirTC_Avg","RH","CleanRH","VP","VPD","SVP","Barometric_Pressure_PB110B","Barometric_Pressure_PB110B_Avg","SlrW_Avg","SlrMJ_Tot","PAR_Den_C_Avg","PAR_Tot_C_Tot","Temp10cm_Avg","Temp25cm_Avg","Temp90cm_Avg","Above75cm_plate_Avg","Aquatroll_ID(2)","Depth","Temperature","Actual_Conductivity","Specific_Conductivity","Salinity","TDS","Water_Density","Pressure","Resistivity","WindDir_RM_Avg","WindDir_RM","WS_ms_RM_Max","WS_ms_RM_Min","WS_ms_RM_Avg","WS_ms_RM","WindDir_WS_Avg","WindDir_WS","WS_ms_WS_Max","WS_ms_WS_Min","WS_ms_WS_Avg","WS_ms_WS"
"TS","RN","","inch","cm","°C","%","%","kPa","Pa","Pa","mbar","mbar","W/m²","MJ/m²","micromols/s/m^2","mmol/m^2second","C","C","C","C","","cm","C","uS/cm","uS/cm","PSU","ppt","g/cm3","PSI","ohm-cm","degrees","degrees","m/s","m/s","m/s","m/s","degrees","degrees","m/s","m/s","m/s","m/s"
"","","Smp","Tot","Tot","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Tot","Avg","Tot","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Max","Min","Avg","Smp","Avg","Smp","Max","Min","Avg","Smp"
"2026-04-30 23:45:00",169394,"NAN",0,0,8.93,72.8,72.8,0.8238558,0.6384783,2.347087,1014.443,1014.235,0.008,0,0.085,0,13.28,12.33,9.19,"NAN","213IN-SITU AT200 201000",58.7392,10.92927,14185.21,19398.61,11.47744,12.6091,1.008537,0.841391,70.47716,226.3211,219.8131,0.9604,0,0.3526911,0.1372,220.9,239,1.17,0.09,0.5409444,0.44
"2026-05-01 00:00:00",169395,"NAN",0,0,8.55,73.04,73.04,0.8076891,0.609201,2.259279,1014.362,1014.153,0.01,0,0.131,0,13.25,12.33,9.19,"NAN","213IN-SITU AT200 201000",58.58931,10.92963,14184.73,19397.76,11.4769,12.60854,1.008537,0.84058,70.47748,299.1195,277.8281,2.0972,0,1.013538,0.8036,297.75,268,2.43,0.21,1.170111,0.99
"2026-05-01 00:15:00",169396,"NAN",0,0,8.73,73.07,73.07,0.826942,0.6320778,2.347087,1014.443,1014.087,0.001,0,0.066,0,13.22,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.60995,10.93027,14185.21,19398.1,11.47714,12.60876,1.008534,0.842433,70.49785,287.1272,263.3062,2.5088,0,0.7933644,0.098,281.9889,263,2.83,0.26,0.9559444,0.58
"2026-05-01 00:30:00",169397,"NAN",0,0,8.58,72.66,72.66,0.7961407,0.6080516,2.224088,1014.28,1014.09,0.008,0,0.02,0,13.19,12.33,9.19,"NAN","213IN-SITU AT200 201000",58.69,10.93101,14178.66,19388.77,11.47118,12.6027,1.008534,0.841416,70.50064,308.6718,302.9026,2.1168,0,1.090087,1.568,306.3556,306,2.15,0.28,1.226,1.35
"2026-05-01 00:45:00",169398,"NAN",0,0,8.6,70.55,70.55,0.7874142,0.6757762,2.294431,1014.362,1014.018,0,0,0.007,0,13.17,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.4969,10.93119,14181.84,19393.02,11.47392,12.60546,1.008534,0.839748,70.50012,283.05,323.4995,2.5088,0,0.8686066,0.3136,275.6667,78,2.55,0.11,1.002889,0.14
"2026-05-01 01:00:00",169399,"NAN",0,0,8.4,72.73,72.73,0.7895394,0.5969275,2.188857,1014.198,1014.052,0,0,0.007,0,13.14,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.51765,10.93128,14182.09,19393.32,11.47411,12.60566,1.008536,0.840838,70.48458,289.6426,314.0361,2.0776,0,0.8635977,0.7448,291.9778,303,2.14,0.25,1.027056,0.8
"2026-05-01 01:15:00",169400,"NAN",0,0,8.06,74.98,74.98,0.8064499,0.5388562,2.153588,1014.362,1014.096,0.002,0,0.02,0,13.12,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.47141,10.93192,14181.26,19391.86,11.4732,12.60471,1.008536,0.838464,70.47763,227.0423,237.3604,1.176,0,0.5265866,0.3136,213.8611,237,1.31,0.01,0.7177778,0.46
"2026-05-01 01:30:00",169401,"NAN",0,0,7.727,76.68,76.68,0.7965197,0.4712286,2.020977,1014.443,1014.259,0,0,0,0,13.1,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.5485,10.93294,14183.54,19394.46,11.4749,12.6064,1.008535,0.838023,70.48654,263.8962,344.8467,1.3328,0,0.4288044,0.4508,262.5778,341,1.54,0.12,0.6605,0.64
"2026-05-01 01:45:00",169402,"NAN",0,0,7.515,77.08,77.08,0.7977985,0.4602588,2.007685,1014.607,1014.298,0,0,0,0,13.07,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.49001,10.93303,14184.91,19396.29,11.47607,12.60759,1.008535,0.839609,70.48238,269.2289,284.0483,1.47,0,0.5743889,0.2548,259.9445,300,1.7,0.14,0.742111,0.48
"2026-05-01 02:00:00",169403,"NAN",0,0,7.359,78.23,78.23,0.7948232,0.4215395,1.936704,1014.607,1014.395,0.001,0,0.02,0,13.03,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.42639,10.9332,14185.79,19397.4,11.47679,12.60831,1.008536,0.837587,70.47611,263.0988,270.6882,1.3328,0,0.37142,0.7056,257.8556,265,1.53,0.11,0.613,0.76
"2026-05-01 02:15:00",169404,"NAN",0,0,7.176,79.12,79.12,0.8000809,0.4006637,1.918933,1014.771,1014.422,0.001,0,0.007,0,13.01,12.34,9.2,"NAN","213IN-SITU AT200 201000",58.46641,10.93367,14183.74,19394.37,11.47486,12.60634,1.008533,0.838733,70.49777,262.3421,238.1349,0.8231999,0,0.2730933,0.196,255.0444,251,1.01,0.1,0.5096111,0.51
"2026-05-01 02:30:00",169405,"NAN",0,0,7.083,80.5,80.5,0.7988393,0.3606222,1.847965,1014.78,1014.572,0,0,0.007,0,12.98,12.35,9.21,"NAN","213IN-SITU AT200 201000",58.36925,10.93394,14178.02,19386.4,11.46977,12.60116,1.008531,0.836881,70.51211,245.4208,211.2247,0.9015999,0,0.2798444,0,229.6222,192,1.01,0.13,0.4665555,0.58
