[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/2/2026 9:54:07 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:13:34 AM	1	1	IC	1.080	9.898	IC:9.878mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:16:38 AM	1	2	IC	2.220	9.992	IC:9.878mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:19:29 AM	1	3	IC	1.355	9.921	IC:9.878mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:22:11 AM	1	4	IC	0.6282	9.860	IC:9.878mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:24:49 AM	1	5	IC	0.8219	9.876	IC:9.878mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:29:40 AM	1	1	IC	0.8734	9.881	IC:9.898mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:32:11 AM	1	2	IC	0.9430	9.886	IC:9.898mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:34:54 AM	1	3	IC	2.009	9.975	IC:9.898mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:37:35 AM	1	4	IC	1.443	9.928	IC:9.898mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:40:24 AM	1	5	IC	2.705	10.03	IC:9.898mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:46:26 AM	1	1	IC	0.5221	9.851	IC:9.834mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:48:55 AM	1	2	IC	0.2791	9.831	IC:9.834mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:51:21 AM	1	3	IC	0.2563	9.829	IC:9.834mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 9:53:49 AM	1	4	IC	0.4161	9.843	IC:9.834mg/L	0	150	
Unknown	IC	Chk_Std_40mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:01:24 AM	1	1	IC	813.6	77.42	IC:78.72mg/L	0	150	
Unknown	IC	Chk_Std_40mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:06:06 AM	1	2	IC	843.4	79.90	IC:78.72mg/L	0	150	
Unknown	IC	Chk_Std_40mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:10:48 AM	1	3	IC	830.5	78.83	IC:78.72mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:15:55 AM	1	1	IC	2.500	10.02	IC:9.992mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:18:37 AM	1	2	IC	2.141	9.986	IC:9.992mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:21:23 AM	1	3	IC	1.870	9.963	IC:9.992mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:24:06 AM	1	4	IC	2.299	9.999	IC:9.992mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:26:57 AM	1	5	IC	2.192	9.990	IC:9.992mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:31:55 AM	1	1	IC	1.927	9.968	IC:9.973mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:34:30 AM	1	2	IC	2.248	9.995	IC:9.973mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:37:21 AM	1	3	IC	2.089	9.982	IC:9.973mg/L	0	150	
