Project,Site,Sample,Sample_ID,Replicate,Sample_Type,Date_collected,Time_collected_EDT,Time_collected_EST,Date_filtered,Time_filtered_EDT,Time_filtered_EST,DOC,NUTR,SO4_Cl,TA,Notes,Salinity_probe,Temp_probe,pH_probe
SERC Lateral Flux,Flume,Flume_T1,Tidal_Flume_SW_T1,T1,SW,4/29/2026,11:30,10:30,4/30/2026,12:35,11:35,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T2,Tidal_Flume_SW_T2,T2,SW,4/29/2026,12:30,11:30,4/30/2026,12:50,11:50,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T3,Tidal_Flume_SW_T3,T3,SW,4/29/2026,13:30,12:30,4/30/2026,13:00,12:00,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T4,Tidal_Flume_SW_T4,T4,SW,4/29/2026,14:30,13:30,4/30/2026,13:10,12:10,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T5,Tidal_Flume_SW_T5,T5,SW,4/29/2026,15:30,14:30,4/30/2026,13:25,12:25,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T6,Tidal_Flume_SW_T6,T6,SW,4/29/2026,16:30,15:30,4/30/2026,13:41,12:41,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T7,Tidal_Flume_SW_T7,T7,SW,4/29/2026,17:30,16:30,4/30/2026,14:00,13:00,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T8,Tidal_Flume_SW_T8,T8,SW,4/29/2026,18:30,17:30,4/30/2026,14:15,13:15,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T9,Tidal_Flume_SW_T9,T9,SW,4/29/2026,19:30,18:30,4/30/2026,15:20,14:20,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T10,Tidal_Flume_SW_T10,T10,SW,4/29/2026,20:30,19:30,4/30/2026,15:25,14:25,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T11,Tidal_Flume_SW_T11,T11,SW,4/29/2026,21:30,20:30,4/30/2026,15:31,14:31,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T12,Tidal_Flume_SW_T12,T12,SW,4/29/2026,22:30,21:30,4/30/2026,15:35,14:35,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T13,Tidal_Flume_SW_T13,T13,SW,4/29/2026,23:30,22:30,4/30/2026,15:42,14:42,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T14,Tidal_Flume_SW_T14,T14,SW,4/29/2026,0:30,23:30,4/30/2026,15:44,14:44,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T15,Tidal_Flume_SW_T15,T15,SW,4/30/2026,1:30,0:30,4/30/2026,15:51,14:51,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T16,Tidal_Flume_SW_T16,T16,SW,4/30/2026,2:30,1:30,4/30/2026,16:05,15:05,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T17,Tidal_Flume_SW_T17,T17,SW,4/30/2026,3:30,2:30,4/30/2026,16:11,15:11,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Flume_T18,Tidal_Flume_SW_T18,T18,SW,4/30/2026,4:30,3:30,4/30/2026,16:15,15:15,x,x,x,x,,NA,NA,NA
