Site,Project,Well_ID,Lat,Long,Notes
GCReW,FATE,GW_1,38.87492211,-76.54664159,approx
GCReW,FATE,GW_2,38.874871,-76.546792,approx
GCReW,FATE,GW_3,38.874792,-76.547028,approx
GCReW,FATE,GW_4,38.87465,-76.547342,approx
GCReW,FATE,GW_5,38.874579,-76.547519,approx
GCReW,FATE,GW_6,38.874514,-76.547726,approx
GCReW,COMPASS-Synoptic,WC,38.874945,-76.549995,
GCReW,COMPASS-Synoptic,TR,38.874446,-76.550955,
GCReW,COMPASS-TEMPEST,T1,38.873333,-76.551525,TS1-NW1
GCReW,COMPASS-TEMPEST,T2,38.873333,-76.551525,
